年度,臺灣桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,馬公機場,臺中機場,臺南機場
93年,148938 ,86167 ,110806 ,17849 ,12251 ,37419 ,23948 ,15508 
94年,152614 ,81718 ,98479 ,15426 ,11590 ,35202 ,19292 ,14870 
95年,157703 ,78603 ,87955 ,12888 ,11129 ,34822 ,18666 ,14114 
96年,160120 ,67149 ,68084 ,9479 ,10270 ,33484 ,16695 ,12220 
97年,145993 ,47793 ,49264 ,7518 ,8870 ,32427 ,17464 ,6682 
98年,139399 ,40335 ,44655 ,5005 ,10118 ,31821 ,14352 ,4453 
99年,156036 ,41300 ,48925 ,5258 ,10503 ,33740 ,16503 ,3960 
100年,163200 ,42596 ,58185 ,4938 ,10727 ,35936 ,18437 ,4178 
101年,180761 ,45302 ,58170 ,5131 ,11753 ,34679 ,19710 ,4094 
102年,194239 ,46721 ,60066 ,5299 ,11728 ,34641 ,22120 ,4746 
103年,208874 ,51681 ,61881 ,4799 ,13948 ,33664 ,25293 ,5294 
104年,221191 ,55685 ,57597 ,3402 ,30109 ,34346 ,26457 ,5562 
