Time,騎乘紀錄時間平均數(分鐘),騎乘紀錄時間加總(分鐘),騎乘紀錄觀察值(次數)
2014/9/3,10.03,20.05,2
2014/9/4,8.23,8.23,1
2014/9/5,10.18,20.37,2
2014/9/8,7.7,15.4,2
2014/9/9,8.17,8.17,1
2014/9/10,10.01,40.03,4
2014/9/11,10.32,30.95,3
2014/9/15,8.8,8.8,1
2014/9/16,8.97,26.9,3
2014/9/17,7.78,15.57,2
2014/9/18,9.9,9.9,1
2014/9/19,9.57,47.85,5
2014/9/22,9.21,36.85,4
2014/9/23,9.79,39.15,4
2014/9/24,8.59,42.95,5
2014/9/25,10.73,21.47,2
2014/9/29,10.16,40.65,4
2014/9/30,8.8,8.8,1
2014/10/1,10.23,40.9,4
2014/10/2,8.36,16.72,2
2014/10/3,8.33,8.33,1
2014/10/6,7.43,22.3,3
2014/10/7,9.59,19.18,2
2014/10/8,10.47,10.47,1
2014/10/9,8.51,34.03,4
2014/10/10,9.74,29.23,3
2014/10/14,9.1,9.1,1
2014/10/15,10.25,20.5,2
2014/10/16,8.87,17.73,2
2014/10/17,12.38,12.38,1
2014/10/20,9.25,18.5,2
2014/10/21,9.65,19.3,2
2014/10/22,8.61,34.45,4
2014/10/24,9.1,9.1,1
2014/10/26,28.46,56.92,2
2014/10/27,9.3,9.3,1
2014/10/28,8.64,17.28,2
2014/10/29,10.13,40.52,4
2014/10/30,9.41,18.82,2
2014/10/31,10.03,20.07,2
2014/11/3,10.1,20.2,2
2014/11/4,8.79,17.58,2
2014/11/5,8.31,16.62,2
2014/11/6,8.62,17.23,2
2014/11/9,21.92,21.92,1
2014/11/10,9.04,36.17,4
2014/11/12,10.62,42.48,4
2014/11/13,7.9,7.9,1
2014/11/15,7.2,7.2,1
2014/11/17,8.15,8.15,1
2014/11/18,10.53,21.07,2
2014/11/19,10.97,21.93,2
2014/11/20,10.9,43.6,4
2014/11/21,8.08,16.17,2
2014/11/23,7.72,7.72,1
2014/11/24,10.83,10.83,1
2014/11/25,9.03,9.03,1
2014/12/1,9.81,39.25,4
2014/12/4,10.3,20.6,2
2014/12/5,9.5,19,2
2014/12/6,9,9,1
2014/12/8,9.05,27.15,3
2014/12/9,8.44,16.88,2
2014/12/10,8.36,25.07,3
2014/12/30,7.53,7.53,1
2015/1/5,9.42,9.42,1
2015/1/6,9.57,19.13,2
2015/1/7,11.63,23.25,2
2015/1/8,9.57,19.13,2
2015/1/9,7.48,7.48,1
2015/1/13,7.65,15.3,2
2015/1/14,10.3,20.6,2
2015/1/15,9.16,18.32,2
2015/1/16,9.35,18.7,2
2015/1/20,6.75,6.75,1
2015/1/21,9.35,18.7,2
2015/1/22,9.68,19.35,2
2015/1/23,9,36.02,4
2015/1/26,9.58,28.75,3
2015/1/27,9.49,28.48,3
2015/1/28,9.33,18.65,2
2015/1/29,9.04,27.13,3
2015/1/30,9.7,29.1,3
2015/2/2,9.56,47.8,5
2015/2/3,10.27,20.53,2
2015/2/4,9.02,18.03,2
2015/2/5,10.17,30.52,3
2015/2/6,8.15,16.3,2
2015/2/9,10.68,10.68,1
2015/2/10,8.81,35.25,4
2015/2/11,8.87,35.47,4
2015/2/12,8.88,35.52,4
2015/2/13,8.86,17.72,2
2015/2/17,10,20,2
2015/2/18,8.58,25.75,3
2015/2/19,9.72,9.72,1
2015/2/20,9.07,27.2,3
2015/2/21,7.13,7.13,1
2015/2/23,10.32,10.32,1
2015/2/24,11.61,34.82,3
2015/2/25,9.14,45.7,5
2015/2/26,9.58,38.32,4
2015/2/27,8.63,25.88,3
2015/3/2,10.33,41.33,4
2015/3/3,8.94,17.88,2
2015/3/4,9.89,29.67,3
2015/3/5,6.89,13.78,2
2015/3/6,11.25,45.02,4
2015/3/9,7.47,7.47,1
2015/3/10,9.21,18.42,2
2015/3/11,9.47,18.93,2
2015/3/12,9.05,36.22,4
2015/3/13,7.73,7.73,1
2015/3/16,8.77,8.77,1
2015/3/17,9.43,18.85,2
2015/3/18,8.62,8.62,1
2015/3/19,9.44,37.75,4
2015/3/20,9.98,29.93,3
2015/3/23,13.5,13.5,1
2015/3/24,9.25,18.5,2
2015/3/25,8.05,16.1,2
2015/3/26,7.7,7.7,1
2015/3/27,8.38,33.5,4
2015/3/30,7.31,14.62,2
2015/4/1,9.98,9.98,1
2015/4/2,9.72,9.72,1
2015/4/3,7.79,23.38,3
2015/4/5,7.7,7.7,1
2015/4/6,8.87,8.87,1
2015/4/7,8.48,8.48,1
2015/4/8,9.32,27.97,3
2015/4/9,9.92,29.77,3
2015/4/10,9.12,18.23,2
2015/4/13,9.23,9.23,1
2015/4/15,8.55,34.22,4
2015/4/16,8.33,16.67,2
2015/4/17,7.65,7.65,1
2015/4/20,9.43,18.85,2
2015/4/21,9.05,18.1,2
2015/4/22,10.78,21.57,2
2015/4/23,9.1,9.1,1
2015/4/24,8.47,16.93,2
2015/4/27,8.67,43.33,5
2015/4/28,7.8,31.18,4
2015/4/29,8.49,25.48,3
2015/4/30,10.03,10.03,1
2015/5/1,9.02,18.05,2
2015/5/4,17.48,34.95,2
2015/5/5,9.62,19.23,2
2015/5/6,9.21,46.07,5
2015/5/7,8.38,8.38,1
2015/5/8,9.71,29.12,3
2015/5/11,9.31,37.25,4
2015/5/12,8.03,8.03,1
2015/5/13,8.96,35.85,4
2015/5/14,8.9,17.8,2
2015/5/15,7.71,15.42,2
2015/5/19,8.67,17.33,2
2015/5/21,7.57,15.13,2
2015/5/22,10.97,21.93,2
2015/5/26,7.7,7.7,1
2015/5/27,9.58,9.58,1
2015/5/28,8.28,33.12,4
2015/5/29,8.82,17.63,2
2015/6/1,8,8,1
2015/6/2,8.23,8.23,1
2015/6/3,9.02,27.07,3
2015/6/4,7.79,23.38,3
2015/6/5,9.48,9.48,1
2015/6/8,8.85,17.7,2
2015/6/9,8.68,8.68,1
2015/6/10,8.55,8.55,1
2015/6/11,8.31,16.62,2
2015/6/12,8.83,8.83,1
2015/6/16,7.86,15.72,2
2015/6/17,10.9,21.8,2
2015/6/18,9.47,28.42,3
2015/6/19,8.52,8.52,1
2015/6/20,11.22,11.22,1
2015/6/22,8.8,8.8,1
2015/6/23,8.77,8.77,1
2015/6/24,11.13,22.25,2
2015/6/25,10.04,20.08,2
2015/6/26,8.3,8.3,1
2015/7/1,7.6,7.6,1
2015/7/6,8.35,16.7,2
2015/7/7,9.53,9.53,1
2015/7/8,8.97,8.97,1
2015/7/9,8.48,8.48,1
2015/7/10,8.41,16.82,2
2015/7/14,11.35,22.7,2
2015/7/15,9.29,18.58,2
2015/7/16,8.3,8.3,1
2015/7/17,7.8,7.8,1
2015/7/20,9.95,9.95,1
2015/7/21,8.87,8.87,1
2015/7/22,8.43,8.43,1
2015/7/23,10.47,20.93,2
2015/7/24,7.35,7.35,1
2015/7/28,9.44,18.88,2
2015/7/29,8.3,8.3,1
2015/7/30,9.93,9.93,1
2015/7/31,7.45,7.45,1
2015/8/1,7.83,7.83,1
2015/8/3,8.42,8.42,1
2015/8/4,8.63,17.25,2
2015/8/5,7.68,7.68,1
2015/8/7,9.18,9.18,1
2015/8/10,9,18,2
2015/8/11,8.93,17.85,2
2015/8/12,10.9,10.9,1
2015/8/14,8.65,17.3,2
2015/8/17,8.53,8.53,1
2015/8/18,9.2,18.4,2
2015/8/19,7.2,7.2,1
2015/8/20,9.81,19.62,2
2015/8/21,8.68,8.68,1
2015/8/25,8.23,16.45,2
2015/8/26,9.48,18.97,2
2015/8/27,10.02,20.03,2
2015/8/28,9.93,9.93,1
2015/8/31,8.82,8.82,1
