Day,Timestamp,"San Francisco 
docks_available",San Francisco  Mean TemperatureF,San Francisco  MAX TemperatureF,San Francisco  MIN TemperatureF
2014/3/1,1.39631E+12,15,29.63,16.67,63
2014/3/2,1.3964E+12,15,29.63,16.67,63
2014/3/3,1.39648E+12,15,29.63,16.67,63
2014/3/4,1.39657E+12,15,29.63,16.67,63
2014/3/5,1.39666E+12,15,29.63,16.67,63
2014/3/6,1.39674E+12,15,29.63,16.67,63
2014/3/7,1.39683E+12,15,29.63,16.67,63
2014/3/8,1.39692E+12,15,29.63,16.67,63
2014/3/9,1.397E+12,14,29.63,16.67,63
2014/3/10,1.39709E+12,14,29.63,16.67,63
2014/3/11,1.39717E+12,14,29.63,16.67,63
2014/3/12,1.39726E+12,14,29.63,16.67,63
2014/3/13,1.39735E+12,14,29.63,16.67,63
2014/3/14,1.39743E+12,14,29.63,16.67,63
2014/3/15,1.39752E+12,14,29.63,16.67,63
2014/3/16,1.39761E+12,14,29.63,16.67,63
2014/3/17,1.39769E+12,14,29.63,16.67,63
2014/3/18,1.39778E+12,14,29.63,16.67,63
2014/3/19,1.39787E+12,14,29.63,16.67,63
2014/3/20,1.39795E+12,14,29.63,16.67,63
2014/3/21,1.39804E+12,14,29.63,16.67,63
2014/3/22,1.39812E+12,14,29.63,16.67,63
2014/3/23,1.39821E+12,14,29.63,16.67,63
2014/3/24,1.3983E+12,14,29.63,16.67,63
2014/3/25,1.39838E+12,14,29.63,16.67,63
2014/3/26,1.39847E+12,14,29.63,16.67,63
2014/3/27,1.39856E+12,14,29.63,16.67,63
2014/3/28,1.39864E+12,14,29.63,16.67,63
2014/3/29,1.39873E+12,14,29.63,16.67,63
2014/3/30,1.39882E+12,14,29.63,16.67,63
2014/3/31,1.3989E+12,14,29.63,16.67,63
2014/4/1,1.39899E+12,14,29.63,16.67,63
2014/4/2,1.39908E+12,14,29.63,16.67,63
2014/4/3,1.39916E+12,15,29.63,16.67,63
2014/4/4,1.39925E+12,15,29.63,16.67,63
2014/4/5,1.39933E+12,15,29.63,16.67,63
2014/4/6,1.39942E+12,15,29.63,16.67,63
2014/4/7,1.39951E+12,15,29.63,16.67,63
2014/4/8,1.39959E+12,15,29.63,16.67,63
2014/4/9,1.39968E+12,15,29.63,16.67,63
2014/4/10,1.39977E+12,15,29.63,16.67,63
