San Francisco  時平均,San Francisco雨量,San Francisco風速,San Jose 雨量,San Jose 風速
00:00,0.079452055,0.990136986,0.123835616,0.544657534
01:00,0.018579235,0.979781421,0.075409836,0.520765027
02:00,0.075409836,0.944262295,0.055737705,0.535519126
03:00,0.135519126,0.956830601,0.086338798,0.501092896
04:00,0.124590164,0.943169399,0.077595628,0.525136612
05:00,0.119452055,0.857534247,0.117808219,0.505205479
06:00,0.027322404,0.903825137,0.077595628,0.475409836
07:00,0.089617486,1.013661202,0.036065574,0.534972678
08:00,0.176986301,1.048082192,0.060273973,0.510684932
09:00,0.046994536,1.101092896,0.048087432,0.630601093
10:00,0.086338798,1.172131148,0.040437158,0.909289617
11:00,0.089617486,1.310382514,0.06557377,1.571038251
12:00,0.063387978,1.481967213,0.110382514,2.352459016
13:00,0.137704918,1.588797814,0.405464481,2.631147541
14:00,0.264480874,1.641803279,0.537704918,2.780874317
15:00,0.114754098,1.584699454,0.37704918,2.719672131
16:00,0.216393443,1.447814208,0.340983607,2.353551913
17:00,0.056830601,1.266666667,0.187978142,1.828415301
18:00,0.069945355,1.178688525,0.16284153,1.315300546
19:00,0.045901639,1.118032787,0.216393443,0.943715847
20:00,0.048087432,1.118032787,0.205464481,0.743715847
21:00,0.021857923,1.068306011,0.195628415,0.675956284
22:00,0.11147541,1.069945355,0.212021858,0.591803279
23:00,0.213114754,0.981967213,0.190163934,0.6
