San Francisco 氣溫,San Francisco 剩餘數量,San Francisco PM2.5,San Francisco雨量,San Francisco濕度,San Francisco風速
22.7994017,41.83104374,24.42651693,0.079452055,76.12232342,0.990136986
22.59971642,39.74863388,23.34152013,0.018579235,76.77268297,0.979781421
22.41640983,38.35519126,22.59342937,0.075409836,77.43889096,0.944262295
22.21994478,36.95628415,22.1949467,0.135519126,77.86205747,0.956830601
22.01993,35.61202186,21.37874535,0.124590164,78.28425939,0.943169399
22.05095519,35.45988951,21.91151412,0.119452055,78.09080389,0.857534247
22.08685332,34.7431694,21.24083587,0.027322404,77.92337538,0.903825137
22.61848511,36.3989071,21.76675467,0.089617486,75.39800734,1.013661202
23.78121113,40.20377877,23.70661942,0.176986301,70.82878795,1.048082192
24.93943846,44.42622951,25.61726338,0.046994536,66.26229508,1.101092896
26.10244879,47.83879781,26.88965795,0.086338798,62.18579235,1.172131148
26.91294722,48.66666667,27.83144422,0.089617486,59.98360656,1.310382514
27.31804938,48.18579235,27.39134269,0.063387978,59.36612022,1.481967213
27.35252825,47.61226938,27.19746241,0.137704918,59.44808743,1.588797814
27.1888416,47.95553905,25.92964773,0.264480874,60.10928962,1.641803279
26.69121111,48.00234536,25.12295082,0.114754098,61.75136612,1.584699454
25.94722318,48.22295817,24.91495196,0.216393443,64.01639344,1.447814208
25.0662816,47.36872142,24.74717561,0.056830601,66.96721311,1.266666667
24.38701578,48.11569573,25.29917946,0.069945355,69.46994536,1.178688525
23.95235323,47.72899023,25.81053651,0.045901639,71.16393443,1.118032787
23.63268464,47.65686802,26.46791306,0.048087432,72.36612022,1.118032787
23.41288068,46.76325775,26.94682082,0.021857923,73.28961749,1.068306011
23.21087139,45.60612435,25.9343321,0.11147541,74.21857923,1.069945355
22.94490762,44.1685311,25.96961512,0.213114754,75.16393443,0.981967213
