time, 騎乘紀錄時間平均數(分鐘),騎乘紀錄時間加總(分鐘),騎乘紀錄觀察值(次數)
2014/09/16,9.59 ,21.85 ,2.28 
2014/09/30,9.59 ,22.71 ,2.37 
2014/10/14,9.56 ,21.93 ,2.29 
2014/10/27,9.56 ,21.49 ,2.25 
2014/11/09,9.30 ,21.12 ,2.26 
2014/11/21,9.13 ,21.14 ,2.29 
2014/12/09,9.21 ,21.21 ,2.29 
2015/01/14,9.15 ,21.35 ,2.32 
2015/01/28,9.11 ,21.17 ,2.31 
2015/02/10,9.12 ,20.52 ,2.24 
2015/02/23,9.08 ,19.35 ,2.12 
2015/03/06,9.08 ,18.59 ,2.03 
2015/03/19,8.99 ,16.62 ,1.84 
2015/04/02,9.00 ,16.26 ,1.80 
2015/04/15,8.99 ,16.11 ,1.78 
2015/04/28,9.01 ,15.84 ,1.75 
2015/05/11,9.03 ,15.32 ,1.68 
2015/05/27,8.89 ,14.01 ,1.57 
2015/06/09,8.92 ,13.63 ,1.52 
2015/06/22,8.98 ,13.03 ,1.43 
2015/07/09,8.94 ,12.76 ,1.40 
2015/07/23,8.92 ,12.89 ,1.42 
2015/08/05,8.82 ,12.62 ,1.42 
2015/08/20,9.10 ,13.99 ,1.53 
2015/08/31,9.19 ,13.81 ,1.50 
