Time,騎乘紀錄時間平均數(分鐘),騎乘紀錄時間加總(分鐘),騎乘紀錄觀察值(次數)
2014/09/18,9.03 ,23.52 ,2.53 
2014/10/03,9.13 ,24.80 ,2.65 
2014/10/17,9.15 ,26.21 ,2.80 
2014/10/30,9.23 ,28.90 ,3.07 
2014/11/18,9.29 ,29.90 ,3.17 
2014/12/04,9.35 ,32.02 ,3.39 
2014/12/23,9.38 ,33.18 ,3.53 
2015/01/08,9.35 ,33.70 ,3.60 
2015/01/22,9.26 ,33.00 ,3.55 
2015/02/04,9.16 ,31.92 ,3.47 
2015/02/17,9.07 ,30.47 ,3.33 
2015/03/02,8.94 ,28.06 ,3.11 
2015/03/13,8.85 ,27.20 ,3.05 
2015/03/25,8.85 ,26.57 ,2.98 
2015/04/06,8.82 ,25.40 ,2.86 
2015/04/17,8.89 ,25.34 ,2.83 
2015/04/30,8.85 ,24.04 ,2.70 
2015/05/13,8.87 ,22.97 ,2.57 
2015/05/27,8.88 ,22.33 ,2.49 
2015/06/09,8.85 ,23.21 ,2.59 
2015/06/22,8.92 ,24.03 ,2.67 
2015/07/08,9.04 ,24.34 ,2.67 
2015/07/21,9.05 ,26.59 ,2.92 
2015/08/03,9.27 ,26.76 ,2.86 
2015/08/14,9.34 ,28.30 ,3.00 
2015/08/31,9.77 ,30.34 ,3.10 
