Time,同站租出歸還騎，騎乘紀錄時間平均數(分鐘), 同站租出歸還騎，乘紀錄時間加總(分鐘),同站租出歸還騎，騎乘紀錄觀察值(次數)
2014/09/14,79.804,1272.8,13
2014/09/28,87.7525,726.07,8
2014/10/09,100.8875,428.31,5
2014/10/30,74.2783,1272.12,18
2014/11/15,93.9028,908.55,11
2014/11/25,68.39,337.18,6
2014/12/07,23.53,70.6,3
2015/01/15,104.1475,472.8,6
2015/01/31,60.076,403.3,6
2015/02/13,191.715,291.86,5
2015/02/28,75.372,774.07,10
2015/03/08,71.985,614.14,8
2015/03/28,75.298,1059.21,14
2015/04/15,60.57,356.72,5
2015/04/30,336.036,1835.18,8
2015/05/13,144.073,945.55,5
2015/05/24,71.705,730.89,12
2015/06/14,63.22,453.04,8
2015/06/30,53.258,462.69,10
2015/07/15,72.1028,1091.66,15
2015/07/29,84.8066,314.98,5
2015/08/15,88.73,177.47,2
2015/08/28,98.88,98.88,1
