Time,同站租出歸還騎，騎乘紀錄時間平均數(分鐘),同站租出歸還騎，騎乘紀錄時間加總(分鐘),同站租出歸還騎，騎乘紀錄觀察值(次數)
2014/09/19,163.41,334.18,3
2014/09/24,21.85,42.37,2
2014/10/10,8.12,24.36,3
2014/10/25,50.95,220.63,5
2014/11/16,11.98,23.95,2
2014/12/08,21.62,21.62,1
2014/12/31,577.94,1733.82,3
2015/01/06,32.0575,128.23,4
2015/02/20,10.32,10.32,1
2015/03/12,81.02,81.02,1
2015/03/30,52.09,104.18,2
2015/04/14,47.31,159.04,4
2015/04/22,24.415,48.83,2
2015/05/10,35.1975,327.47,6
2015/05/25,37.125,74.25,2
2015/06/07,204.385,817.53,4
2015/06/29,24.51,89.92,3
2015/07/10,1.1,1.1,1
2015/07/23,37.965,473.77,9
2015/08/15,64.652,566.88,6
2015/08/22,117.72,117.72,1
2014/3/11,29,25,29
