Day,Timestamp,"San Francisco 
docks_available",San Francisco  Mean TemperatureF,San Francisco  MAX TemperatureF,San Francisco  MIN TemperatureF,"San Jose 
docks_available","San Jose Mean
Temperature",San Jose  MAX TemperatureF,San JoseMIN TemperatureF
2014/3/1,1396310400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/2,1396396800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/3,1396483200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/4,1396569600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/5,1396656000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/6,1396742400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/7,1396828800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/8,1396915200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/3/9,1397001600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/10,1397088000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/11,1397174400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/12,1397260800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/13,1397347200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/14,1397433600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/15,1397520000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/16,1397606400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/17,1397692800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/18,1397779200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/19,1397865600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/20,1397952000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/21,1398038400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/22,1398124800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/23,1398211200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/24,1398297600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/25,1398384000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/26,1398470400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/27,1398556800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/28,1398643200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/29,1398729600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/30,1398816000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/3/31,1398902400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/1,1398988800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/2,1399075200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/3,1399161600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/4,1399248000000 ,15,29.63,16.67,63,15,29.63,16.67,63
