San Francisco  時平均,San Francisco 氣溫,San Francisco 剩餘數量,San Francisco PM2.5,San Francisco濕度
00:00,22.7994017,41.83104374,24.42651693,76.12232342
01:00,22.59971642,39.74863388,23.34152013,76.77268297
02:00,22.41640983,38.35519126,22.59342937,77.43889096
03:00,22.21994478,36.95628415,22.1949467,77.86205747
04:00,22.01993,35.61202186,21.37874535,78.28425939
05:00,22.05095519,35.45988951,21.91151412,78.09080389
06:00,22.08685332,34.7431694,21.24083587,77.92337538
07:00,22.61848511,36.3989071,21.76675467,75.39800734
08:00,23.78121113,40.20377877,23.70661942,70.82878795
09:00,24.93943846,44.42622951,25.61726338,66.26229508
10:00,26.10244879,47.83879781,26.88965795,62.18579235
11:00,26.91294722,48.66666667,27.83144422,59.98360656
12:00,27.31804938,48.18579235,27.39134269,59.36612022
13:00,27.35252825,47.61226938,27.19746241,59.44808743
14:00,27.1888416,47.95553905,25.92964773,60.10928962
15:00,26.69121111,48.00234536,25.12295082,61.75136612
16:00,25.94722318,48.22295817,24.91495196,64.01639344
17:00,25.0662816,47.36872142,24.74717561,66.96721311
18:00,24.38701578,48.11569573,25.29917946,69.46994536
19:00,23.95235323,47.72899023,25.81053651,71.16393443
20:00,23.63268464,47.65686802,26.46791306,72.36612022
21:00,23.41288068,46.76325775,26.94682082,73.28961749
22:00,23.21087139,45.60612435,25.9343321,74.21857923
23:00,22.94490762,44.1685311,25.96961512,75.16393443
