San Francisco  時平均,年約會員次數,短期會員次數,超過免費時段低於60分鐘收費,超過免費時段低於24小時收費,超過免費時段超過一天收費
00:00,0,8,12,674,1500
01:00,0,23,48,852,1500
02:00,0,7,12,158,4500
03:00,0,4,0,267,3000
04:00,0,2,0,183,0
05:00,7,0,0,98,0
06:00,2,10,12,302,0
07:00,3,13,24,593,0
08:00,11,13,40,513,4500
09:00,7,44,60,1018,3000
10:00,5,57,80,1400,0
11:00,16,56,116,1284,3000
12:00,16,72,164,1517,3000
13:00,6,58,120,1087,3000
14:00,3,86,160,1130,1500
15:00,8,75,180,1968,1500
16:00,16,84,220,1740,3000
17:00,15,57,140,868,3000
18:00,7,65,128,2104,6000
19:00,4,34,76,1072,4500
20:00,2,28,36,1029,0
21:00,2,28,56,690,1500
22:00,2,32,80,772,4500
23:00,1,10,8,998,1500
