San Francisco  時平均,San Jose 雨量,San Jose 風速
00:00,0.123835616,0.544657534
01:00,0.075409836,0.520765027
02:00,0.055737705,0.535519126
03:00,0.086338798,0.501092896
04:00,0.077595628,0.525136612
05:00,0.117808219,0.505205479
06:00,0.077595628,0.475409836
07:00,0.036065574,0.534972678
08:00,0.060273973,0.510684932
09:00,0.048087432,0.630601093
10:00,0.040437158,0.909289617
11:00,0.06557377,1.571038251
12:00,0.110382514,2.352459016
13:00,0.405464481,2.631147541
14:00,0.537704918,2.780874317
15:00,0.37704918,2.719672131
16:00,0.340983607,2.353551913
17:00,0.187978142,1.828415301
18:00,0.16284153,1.315300546
19:00,0.216393443,0.943715847
20:00,0.205464481,0.743715847
21:00,0.195628415,0.675956284
22:00,0.212021858,0.591803279
23:00,0.190163934,0.6
