月平均,San Jose 氣溫,San Jose PM10,San Jose 細PM2.5,San Jose 濕度
Jan,16.91424731,57.02553763,39.98319892,67.52284946
Feb,18.04866071,63.15550595,47.7873201,67.91220238
Mar,21.15591398,64.16599462,50.00403226,70.95430108
Apr,24.15416667,44.54444444,30.54852155,66.18958333
May,25.84811828,29.49798387,18.78646711,75.95564516
Jun,28.17777778,27.23125,17.21188552,72.29444444
Jul,26.99327957,31.46365642,19.65893243,73.25
Aug,25.96236559,25.77822581,14.32930108,76.375
Sep,26.21944444,45.2375,31.07847222,73.5875
Oct,25.08870968,51.18545303,37.06787634,74.14784946
Nov,23.30208333,47.32986111,31.99236111,70.96111111
Dec,19.50430108,45.56268756,29.9308795,66.33064516
