月平均,San Francisco雨量,San Francisco風速,San Jose 雨量,San Jose 風速
Jan,0.01827957,0.901344086,0.019623656,1.039448925
Feb,0.036011905,0.937127976,0.011904762,1.070684524
Mar,0.030376344,0.927822581,0.04233871,1.158938172
Apr,0.061111111,1.173819444,0.093888889,1.349444444
May,0.836827957,1.282930108,0.786424731,1.025537634
Jun,0.123055556,1.633472222,0.164583333,1.210277778
Jul,0.073387097,1.551612903,0.240860215,1.236424731
Aug,0.433602151,1.322110215,0.668145161,1.037096774
Sep,0.236111111,1.147916667,0.200138889,1.28375
Oct,0.027419355,1.093346774,0.034946237,1.163642473
Nov,0.000833333,1.018263889,0.006111111,1.057083333
Dec,0.057526882,1.031182796,0.043010753,0.931451613
