全區平均氣溫,全區騎乘紀錄筆數(次數)(去除36筆超過24小時),年約會員(Subcriber)全區騎乘紀錄次數,短期會員(Customer)全區騎乘紀錄次數,全區騎乘紀錄筆數(次數)(超時收費筆數),年約會員(Subcriber)超時收費次數,短期會員(Customer)超時收費次數,超過免費時段但低於60分鐘收費,超過免費時段但低於24小時收費,超過免費時段並超過一天收費
68.60 ,1821,1598,223,113,18,95,164,480,9000
65.87 ,1775,1569,206,95,15,80,152,140,9000
57.17 ,1415,1237,178,63,7,56,100,2192,1500
54.65 ,860,803,57,27,9,18,56,1585,0
51.71 ,1317,1208,109,64,13,51,76,1239,4500
57.75 ,1373,1166,207,84,7,77,208,516,12000
61.06 ,1539,1313,226,102,15,87,168,1702,3000
59.70 ,1463,1267,196,75,7,68,144,2347,0
60.97 ,1485,1240,245,103,22,81,192,1818,4500
68.00 ,1682,1360,322,110,9,101,2705,4500,110
70.52 ,1678,1396,282,89,5,84,176,1726,3000
71.48 ,1512,1275,237,74,6,68,156,1154,3000
