San Jose 氣溫,San Jose PM10,San Jose PM2.5,San Jose 雨量,San Jose 濕度,San Jose 風速
16.91424731,57.02553763,39.98319892,0.019623656,67.52284946,1.039448925
18.04866071,63.15550595,47.7873201,0.011904762,67.91220238,1.070684524
21.15591398,64.16599462,50.00403226,0.04233871,70.95430108,1.158938172
24.15416667,44.54444444,30.54852155,0.093888889,66.18958333,1.349444444
25.84811828,29.49798387,18.78646711,0.786424731,75.95564516,1.025537634
28.17777778,27.23125,17.21188552,0.164583333,72.29444444,1.210277778
26.99327957,31.46365642,19.65893243,0.240860215,73.25,1.236424731
25.96236559,25.77822581,14.32930108,0.668145161,76.375,1.037096774
26.21944444,45.2375,31.07847222,0.200138889,73.5875,1.28375
25.08870968,51.18545303,37.06787634,0.034946237,74.14784946,1.163642473
23.30208333,47.32986111,31.99236111,0.006111111,70.96111111,1.057083333
19.50430108,45.56268756,29.9308795,0.043010753,66.33064516,0.931451613
