x1,x2,x3,x4,x5
4.9774,4.99985,4.95995,4.9696,4.9821
4.98305,5.0123,4.98875,4.96145,4.98625
4.98545,5.0055,4.96335,4.9851,4.98565
4.9813,4.9751,4.9835,4.9812,4.976
4.9845,4.9819,4.98535,4.9905,4.9907
4.97645,5.00685,4.99875,4.9787,4.9893
4.9783,4.96635,4.987,4.98595,4.99295
4.97475,5.0118,4.9797,4.9841,4.98835
4.97215,4.986,4.9966,4.99485,4.9848
4.98695,4.9966,4.96355,4.9788,4.98375
4.9761,5.03065,4.97265,4.99005,4.9843
4.9922,4.9751,4.9611,4.978,4.99325
4.97605,4.9752,4.99265,4.9809,4.9848
4.98095,4.99265,4.9975,4.9967,4.99175
4.97895,4.99255,4.9754,4.98495,4.9844
4.97615,4.98445,4.98185,4.9842,4.98435
4.9838,4.9987,4.96715,4.97995,4.9852
4.9765,4.9746,4.9721,4.98265,4.98445
4.9839,5.0194,4.9728,4.98285,4.9912
4.9813,5.00645,4.9818,5.0101,4.98825
4.97145,4.9711,4.97405,4.97625,4.98595
4.98025,5.01225,4.9931,4.9864,4.989
4.97375,5.0254,4.9849,4.9957,4.9865
4.98035,4.9625,4.99265,4.98175,4.98415
4.98195,4.96855,4.98075,4.9616,4.98075
4.98195,4.96855,4.98075,4.9616,4.98075
4.98305,4.9819,4.98825,4.9885,4.98865
4.98155,4.9866,4.97755,5.00335,4.9828
4.98335,4.9869,4.9717,4.97035,4.98605
4.97565,4.9825,4.9813,4.9776,4.9822
4.97845,4.9839,4.9628,5.0006,4.98465
4.97675,4.9874,4.97865,4.9788,4.9775
4.97825,5.01495,4.9706,4.98025,4.98215
4.98425,5.00665,4.97395,4.9886,4.9799
4.9734,4.983,4.9797,4.97225,4.9816
4.9793,4.98875,4.96035,4.9718,4.97985
4.98975,5.0229,4.967,4.9769,4.99095
4.9744,4.96195,4.97825,4.9711,4.9823
4.9768,4.97245,4.9601,4.99145,4.98595
4.96885,4.96805,4.9711,4.9829,4.98255
4.97555,4.9602,4.9956,4.97155,4.97665
4.9813,4.98675,4.9608,4.97915,4.9842
4.9839,4.9926,4.97635,4.99155,4.98535
4.9848,4.9892,4.97865,4.9949,4.98605
4.9767,4.974,4.9728,4.97355,4.9864
4.9871,5.0251,4.95635,4.9628,4.9849
4.97435,4.98535,4.99855,4.9921,4.9743
