日期時間,timestamp,Diridon Caltrain Station 剩餘數量,Civic Center 剩餘數量
2014/9/1 02:57,1.40957E+12,14,9
2014/9/1 03:02,1.40957E+12,15,9
2014/9/1 08:12,1.40959E+12,14,9
2014/9/1 08:17,1.40959E+12,15,9
2014/9/1 08:22,1.40959E+12,14,9
2014/9/1 08:52,1.40959E+12,15,9
2014/9/1 12:27,1.4096E+12,14,9
2014/9/1 14:35,1.40961E+12,15,9
2014/9/1 18:52,1.40963E+12,14,9
2014/9/1 18:57,1.40963E+12,15,9
2014/9/1 19:17,1.40963E+12,14,9
2014/9/1 19:22,1.40963E+12,15,9
2014/9/1 20:12,1.40963E+12,14,9
2014/9/1 20:17,1.40963E+12,15,9
2014/9/1 20:22,1.40963E+12,14,9
2014/9/1 20:27,1.40963E+12,15,9
2014/9/1 20:32,1.40963E+12,14,9
2014/9/1 20:37,1.40963E+12,15,9
2014/9/1 20:47,1.40963E+12,14,9
2014/9/1 20:57,1.40963E+12,15,9
2014/9/1 21:52,1.40964E+12,14,8
2014/9/1 21:57,1.40964E+12,15,8
2014/9/1 22:00,1.40964E+12,12,8
2014/9/1 22:01,1.40964E+12,11,8
2014/9/1 22:03,1.40964E+12,10,8
2014/9/2 00:42,1.40965E+12,9,13
2014/9/2 00:47,1.40965E+12,10,13
2014/9/2 00:57,1.40965E+12,9,13
2014/9/2 01:02,1.40965E+12,10,13
2014/9/2 01:12,1.40965E+12,9,13
2014/9/2 02:02,1.40965E+12,8,13
2014/9/2 02:07,1.40965E+12,9,13
2014/9/2 03:27,1.40966E+12,8,13
2014/9/2 03:32,1.40966E+12,9,13
2014/9/2 04:42,1.40966E+12,8,13
2014/9/2 04:47,1.40966E+12,9,13
2014/9/2 05:32,1.40966E+12,8,13
2014/9/2 05:37,1.40967E+12,9,13
2014/9/2 06:31,1.40967E+12,10,13
2014/9/2 06:36,1.40967E+12,11,13
2014/9/2 06:53,1.40967E+12,12,13
2014/9/2 07:03,1.40967E+12,11,13
2014/9/2 07:25,1.40967E+12,12,13
2014/9/2 07:33,1.40967E+12,14,13
2014/9/2 07:37,1.40967E+12,13,13
2014/9/2 07:43,1.40967E+12,15,13
2014/9/2 07:50,1.40967E+12,14,13
2014/9/2 07:59,1.40967E+12,15,13
2014/9/2 08:02,1.40967E+12,14,13
2014/9/2 08:03,1.40967E+12,15,13
2014/9/2 08:05,1.40967E+12,14,13
2014/9/2 08:07,1.40967E+12,13,13
2014/9/2 08:17,1.40967E+12,14,11
2014/9/2 08:22,1.40967E+12,13,12
2014/9/2 08:32,1.40968E+12,14,12
2014/9/2 08:35,1.40968E+12,15,12
2014/9/2 08:37,1.40968E+12,13,12
2014/9/2 08:42,1.40968E+12,14,12
2014/9/2 08:52,1.40968E+12,13,12
2014/9/2 08:57,1.40968E+12,14,12
2014/9/2 09:05,1.40968E+12,13,12
2014/9/2 09:20,1.40968E+12,12,12
2014/9/2 09:22,1.40968E+12,11,10
2014/9/2 09:27,1.40968E+12,12,10
2014/9/2 09:38,1.40968E+12,13,10
2014/9/2 11:48,1.40969E+12,12,10
2014/9/2 13:26,1.40969E+12,13,10
2014/9/2 13:44,1.40969E+12,12,10
2014/9/2 13:45,1.40969E+12,11,10
2014/9/2 13:51,1.40969E+12,10,10
2014/9/2 14:43,1.4097E+12,9,10
2014/9/2 15:21,1.4097E+12,10,11
2014/9/2 15:22,1.4097E+12,11,11
2014/9/2 16:19,1.4097E+12,12,11
2014/9/2 16:20,1.4097E+12,13,11
2014/9/2 16:28,1.4097E+12,14,11
2014/9/2 16:29,1.4097E+12,15,11
2014/9/2 16:31,1.4097E+12,16,11
2014/9/2 16:37,1.4097E+12,17,11
2014/9/2 17:03,1.40971E+12,16,11
2014/9/2 17:05,1.40971E+12,15,11
2014/9/2 17:08,1.40971E+12,16,11
2014/9/2 17:24,1.40971E+12,17,11
2014/9/2 17:38,1.40971E+12,16,11
2014/9/2 17:43,1.40971E+12,15,11
2014/9/2 17:44,1.40971E+12,13,11
2014/9/2 18:21,1.40971E+12,12,11
2014/9/2 18:37,1.40971E+12,13,11
2014/9/2 19:04,1.40971E+12,12,11
2014/9/2 19:10,1.40971E+12,11,11
2014/9/2 19:16,1.40971E+12,9,11
2014/9/2 19:20,1.40971E+12,8,11
2014/9/2 19:39,1.40972E+12,7,11
2014/9/3 05:37,1.40975E+12,8,11
2014/9/3 06:33,1.40975E+12,9,11
2014/9/3 06:34,1.40975E+12,10,11
2014/9/3 07:00,1.40976E+12,9,11
2014/9/3 07:34,1.40976E+12,10,11
2014/9/3 07:35,1.40976E+12,9,11
2014/9/3 07:49,1.40976E+12,8,12
2014/9/3 07:52,1.40976E+12,9,12
2014/9/3 07:54,1.40976E+12,10,12
2014/9/3 07:55,1.40976E+12,11,12
2014/9/3 07:56,1.40976E+12,13,12
2014/9/3 08:06,1.40976E+12,12,12
2014/9/3 08:09,1.40976E+12,11,11
2014/9/3 08:18,1.40976E+12,10,12
2014/9/3 09:06,1.40976E+12,9,11
2014/9/3 09:07,1.40976E+12,8,11
2014/9/3 09:16,1.40976E+12,7,10
2014/9/3 09:33,1.40977E+12,6,10
2014/9/3 09:43,1.40977E+12,5,10
2014/9/3 10:03,1.40977E+12,6,10
2014/9/3 12:00,1.40977E+12,7,9
2014/9/3 12:01,1.40977E+12,9,9
2014/9/3 12:02,1.40977E+12,11,9
2014/9/3 12:03,1.40977E+12,12,9
2014/9/3 12:04,1.40977E+12,14,9
2014/9/3 14:17,1.40978E+12,13,9
2014/9/3 16:01,1.40979E+12,12,9
2014/9/3 16:02,1.40979E+12,13,9
2014/9/3 16:17,1.40979E+12,14,9
2014/9/3 16:36,1.40979E+12,15,9
2014/9/3 16:41,1.40979E+12,16,9
2014/9/3 16:43,1.40979E+12,17,9
2014/9/3 17:05,1.40979E+12,16,9
2014/9/3 17:15,1.40979E+12,17,10
2014/9/3 17:19,1.40979E+12,18,10
2014/9/3 17:31,1.40979E+12,17,10
2014/9/3 17:33,1.40979E+12,18,10
2014/9/3 17:36,1.40979E+12,20,10
2014/9/3 17:39,1.40979E+12,21,10
2014/9/3 17:40,1.40979E+12,20,10
2014/9/3 17:44,1.4098E+12,21,10
2014/9/3 18:03,1.4098E+12,22,10
2014/9/3 18:19,1.4098E+12,23,10
2014/9/3 18:23,1.4098E+12,22,10
2014/9/3 18:24,1.4098E+12,21,10
2014/9/3 18:44,1.4098E+12,20,10
2014/9/3 18:46,1.4098E+12,19,10
2014/9/3 18:47,1.4098E+12,18,10
2014/9/3 18:48,1.4098E+12,17,10
2014/9/3 18:57,1.4098E+12,18,10
2014/9/3 19:19,1.4098E+12,17,10
2014/9/3 19:23,1.4098E+12,18,10
2014/9/3 19:27,1.4098E+12,17,10
2014/9/3 19:32,1.4098E+12,18,10
2014/9/3 20:15,1.4098E+12,17,10
2014/9/3 20:41,1.40981E+12,15,10
2014/9/3 20:47,1.40981E+12,14,10
2014/9/3 20:52,1.40981E+12,15,10
2014/9/3 21:06,1.40981E+12,14,10
2014/9/3 21:07,1.40981E+12,13,9
2014/9/3 21:12,1.40981E+12,14,10
2014/9/3 21:27,1.40981E+12,13,10
2014/9/3 21:32,1.40981E+12,14,10
2014/9/3 21:37,1.40981E+12,13,9
2014/9/3 21:47,1.40981E+12,14,10
2014/9/3 22:07,1.40981E+12,13,10
2014/9/3 22:12,1.40981E+12,14,10
2014/9/3 22:27,1.40981E+12,13,10
2014/9/3 22:32,1.40981E+12,14,10
2014/9/4 03:02,1.40983E+12,13,9
2014/9/4 03:07,1.40983E+12,14,9
2014/9/4 06:01,1.40984E+12,15,9
2014/9/4 06:29,1.40984E+12,16,10
2014/9/4 06:52,1.40984E+12,17,9
2014/9/4 07:00,1.40984E+12,16,10
2014/9/4 07:36,1.40984E+12,17,9
2014/9/4 07:37,1.40985E+12,16,9
2014/9/4 07:39,1.40985E+12,17,9
2014/9/4 07:45,1.40985E+12,16,9
2014/9/4 07:47,1.40985E+12,17,10
2014/9/4 07:50,1.40985E+12,16,10
2014/9/4 08:04,1.40985E+12,15,10
2014/9/4 08:12,1.40985E+12,14,10
2014/9/4 08:37,1.40985E+12,13,10
2014/9/4 08:42,1.40985E+12,14,10
2014/9/4 08:45,1.40985E+12,13,10
2014/9/4 09:06,1.40985E+12,14,11
2014/9/4 09:07,1.40985E+12,13,11
2014/9/4 09:09,1.40985E+12,14,11
2014/9/4 09:12,1.40985E+12,15,11
2014/9/4 09:20,1.40985E+12,14,11
2014/9/4 09:21,1.40985E+12,13,11
2014/9/4 09:22,1.40985E+12,12,11
2014/9/4 09:27,1.40985E+12,13,11
2014/9/4 09:47,1.40985E+12,12,11
2014/9/4 09:52,1.40985E+12,13,11
2014/9/4 10:02,1.40985E+12,12,11
2014/9/4 10:07,1.40985E+12,13,11
2014/9/4 10:17,1.40985E+12,12,11
2014/9/4 10:32,1.40986E+12,13,11
2014/9/4 11:01,1.40986E+12,12,11
2014/9/4 12:21,1.40986E+12,11,11
2014/9/4 12:35,1.40986E+12,12,11
2014/9/4 14:51,1.40987E+12,11,11
2014/9/4 16:19,1.40988E+12,12,11
2014/9/4 16:28,1.40988E+12,13,11
2014/9/4 16:30,1.40988E+12,14,11
2014/9/4 16:36,1.40988E+12,15,11
2014/9/4 16:47,1.40988E+12,16,11
2014/9/4 17:03,1.40988E+12,17,11
2014/9/4 17:04,1.40988E+12,16,11
2014/9/4 17:06,1.40988E+12,17,11
2014/9/4 17:10,1.40988E+12,16,11
2014/9/4 17:12,1.40988E+12,15,11
2014/9/4 17:17,1.40988E+12,16,12
2014/9/4 17:21,1.40988E+12,17,12
