Diridon Caltrain Station 剩餘數量,Civic Center 剩餘數量
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,9
15,9
14,8
15,8
12,8
11,8
10,8
9,13
10,13
9,13
10,13
9,13
8,13
9,13
8,13
9,13
8,13
9,13
8,13
9,13
10,13
11,13
12,13
11,13
12,13
14,13
13,13
15,13
14,13
15,13
14,13
15,13
14,13
13,13
14,11
13,12
14,12
15,12
13,12
14,12
13,12
14,12
13,12
12,12
11,10
12,10
13,10
12,10
13,10
12,10
11,10
10,10
9,10
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
16,11
15,11
16,11
17,11
16,11
15,11
13,11
12,11
13,11
12,11
11,11
9,11
8,11
7,11
8,11
9,11
10,11
9,11
10,11
9,11
8,12
9,12
10,12
11,12
13,12
12,12
11,11
10,12
9,11
8,11
7,10
6,10
5,10
6,10
7,9
9,9
11,9
12,9
14,9
13,9
12,9
13,9
14,9
15,9
16,9
17,9
16,9
17,10
18,10
17,10
18,10
20,10
21,10
20,10
21,10
22,10
23,10
22,10
21,10
20,10
19,10
18,10
17,10
18,10
17,10
18,10
17,10
18,10
17,10
15,10
14,10
15,10
14,10
13,9
14,10
13,10
14,10
13,9
14,10
13,10
14,10
13,10
14,10
13,9
14,9
15,9
16,10
17,9
16,10
17,9
16,9
17,9
16,9
17,10
16,10
15,10
14,10
13,10
14,10
13,10
14,11
13,11
14,11
15,11
14,11
13,11
12,11
13,11
12,11
13,11
12,11
13,11
12,11
13,11
12,11
11,11
12,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
16,11
17,11
16,11
15,11
16,12
17,12
18,12
17,11
18,11
19,11
18,11
17,11
18,11
17,11
18,11
17,11
16,11
17,11
16,11
17,11
18,11
17,11
18,11
17,11
16,11
17,11
18,11
17,11
16,11
15,11
14,11
13,11
14,11
13,12
12,12
13,12
12,12
11,12
12,12
13,12
12,12
11,12
12,12
11,12
12,11
13,11
14,12
15,11
14,12
15,11
16,12
15,12
16,12
15,12
14,12
15,11
12,11
11,11
12,11
11,11
9,11
8,10
9,11
8,11
9,10
8,11
9,11
10,11
11,11
13,11
14,11
13,11
15,11
16,11
15,11
16,11
17,12
15,12
17,12
16,12
15,12
14,12
15,12
14,12
15,12
14,12
13,12
14,12
15,13
14,13
15,13
14,13
13,13
14,13
12,13
11,13
8,13
