Day,Timestamp,キА放,跋肕魁掸计,穦Ω计,祏戳穦Ω计
2014/9/1,1.40956E+12,22.2,16,6,10
2014/9/2,1.40964E+12,20,84,75,9
2014/9/3,1.40973E+12,20.6,90,86,4
2014/9/4,1.40982E+12,21.1,83,77,6
2014/9/5,1.4099E+12,19.4,72,58,14
2014/9/6,1.40999E+12,19.4,29,24,5
2014/9/7,1.41008E+12,18.9,22,7,15
2014/9/8,1.41016E+12,17.2,66,63,3
2014/9/9,1.41025E+12,18.3,82,79,3
2014/9/10,1.41034E+12,22.2,83,74,9
2014/9/11,1.41042E+12,22.8,94,84,10
2014/9/12,1.41051E+12,22.2,38,37,1
2014/9/13,1.4106E+12,21.7,23,14,9
2014/9/14,1.41068E+12,20.6,26,12,14
2014/9/15,1.41077E+12,20.6,87,80,7
2014/9/16,1.41085E+12,20.6,77,70,7
2014/9/17,1.41094E+12,21.7,84,80,4
2014/9/18,1.41103E+12,22.2,65,61,4
2014/9/19,1.41111E+12,21.1,90,67,23
2014/9/20,1.4112E+12,21.1,32,23,9
2014/9/21,1.41129E+12,20,7,3,4
2014/9/22,1.41137E+12,21.7,84,76,8
2014/9/23,1.41146E+12,20.6,93,92,1
2014/9/24,1.41155E+12,21.7,63,62,1
2014/9/25,1.41163E+12,18.3,62,59,3
2014/9/26,1.41172E+12,18.3,67,59,8
2014/9/27,1.4118E+12,19.4,34,16,18
2014/9/28,1.41189E+12,19.4,24,17,7
2014/9/29,1.41198E+12,18.3,85,83,2
2014/9/30,1.41206E+12,18.3,59,54,5
2014/10/1,1.41215E+12,21.1,62,55,7
2014/10/2,1.41224E+12,22.2,76,65,11
2014/10/3,1.41232E+12,23.9,72,66,6
2014/10/4,1.41241E+12,23.9,24,12,12
2014/10/5,1.4125E+12,23.3,33,13,20
2014/10/6,1.41258E+12,22.2,78,75,3
2014/10/7,1.41267E+12,20.6,79,64,15
2014/10/8,1.41276E+12,21.1,64,62,2
2014/10/9,1.41284E+12,18.3,84,79,5
2014/10/10,1.41293E+12,17.8,68,60,8
2014/10/11,1.41301E+12,18.3,35,22,13
2014/10/12,1.4131E+12,21.7,20,15,5
2014/10/13,1.41319E+12,21.7,59,54,5
2014/10/14,1.41327E+12,17.8,73,70,3
2014/10/15,1.41336E+12,18.9,60,57,3
2014/10/16,1.41345E+12,17.2,63,60,3
2014/10/17,1.41353E+12,17.2,53,48,5
2014/10/18,1.41362E+12,18.9,17,16,1
2014/10/19,1.41371E+12,18.3,13,7,6
