,Timestamp,忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Wind,忠明 Rain,忠明 Temp,埔里 PM10,埔里 PM2.5,埔里 RH,埔里 Wind,埔里 Rain,埔里 Temp,線西 PM10,線西 PM2.5,線西 RH,線西 Wind,線西 Rain,線西 Temp
2015/1/1 00:00,1420099200000,85,44,65,0.5,0,15,68,55,77,0.3,0,11,40,24,67,3.5,0,15
2015/1/1 01:00,1420102800000,75,37,62,1.4,0,15,66,51,78,0.3,0,11,55,31,64,5.3,0,15
2015/1/1 02:00,1420106400000,62,38,61,1.4,0,15,57,47,78,0.3,0,11,93,53,68,5.2,0,15
2015/1/1 03:00,1420110000000,45,22,61,1.5,0,14,54,40,79,0.5,0,10,126,73,69,5.4,0,15
2015/1/1 04:00,1420113600000,53,29,62,1.2,0,14,48,32,79,0.1,0,10,131,77,68,5.4,0,14
2015/1/1 05:00,1420117200000,88,43,63,1.5,0,14,43,32,80,0.4,0,10,128,75,66,6.1,0,14
2015/1/1 06:00,1420120800000,111,61,62,1.8,0,13,44,30,80,0.1,0,9,117,69,65,6.3,0,14
2015/1/1 07:00,1420124400000,121,65,61,1.5,0,13,44,28,81,0.3,0,9,105,59,65,5.5,0,14
2015/1/1 08:00,1420128000000,108,62,58,1.7,0,14,48,34,76,0.6,0,11,100,50,60,6.4,0,15
2015/1/1 09:00,1420131600000,97,57,51,0.8,0,16,50,35,66,0.4,0,14,101,49,54,5.5,0,16
2015/1/1 10:00,1420135200000,89,46,45,1.3,0,18,50,31,58,0.5,0,17,119,50,47,6.9,0,18
2015/1/1 11:00,1420138800000,89,42,39,1,0,19,51,38,53,1.3,0,19,149,52,48,7.3,0,18
2015/1/1 12:00,1420142400000,89,44,37,1,0,19,50,39,52,2.4,0,20,164,52,49,7.8,0,18
2015/1/1 13:00,1420146000000,93,43,36,1.5,0,19,56,41,53,3.3,0,20,152,47,51,7.5,0,18
2015/1/1 14:00,1420149600000,93,44,37,1.5,0,18,60,45,52,2.3,0,20,138,39,53,8.4,0,17
2015/1/1 15:00,1420153200000,88,37,39,1.1,0,17,68,49,52,3.3,0,20,133,37,54,8.4,0,16
2015/1/1 16:00,1420156800000,87,39,42,1,0,16,82,54,51,2.2,0,19,116,36,55,7.4,0,15
2015/1/1 17:00,1420160400000,77,28,46,1,0,14,86,54,53,1.2,0,18,86,32,53,7,0,14
2015/1/1 18:00,1420164000000,72,29,49,0.8,0,13,94,60,60,1.1,0,17,59,28,53,7,0,13
2015/1/1 19:00,1420167600000,63,22,50,1.9,0,13,95,64,65,0.6,0,15,50,24,54,6.3,0,13
2015/1/1 20:00,1420171200000,56,24,52,1.9,0,12,92,63,70,0.4,0,14,50,26,56,6.8,0,12
2015/1/1 21:00,1420174800000,49,21,53,1.9,0,12,92,63,72,0.5,0,13,43,22,55,6.4,0,12
2015/1/1 22:00,1420178400000,46,27,53,1.9,0,12,86,58,75,0.2,0,13,38,16,56,6,0,12
2015/1/1 23:00,1420182000000,40,26,52,1.5,0,12,81,50,77,0.7,0,12,39,17,57,5.6,0,12
2015/1/2 00:00,1420185600000,38,18,52,1.5,0,12,72,50,78,0.6,0,12,37,16,59,5.2,0,12
2015/1/2 01:00,1420189200000,21,10,53,1.5,0,12,67,55,78,0.3,0,12,37,20,60,5.2,0,12
2015/1/2 02:00,1420192800000,14,10,52,1.9,0,12,68,54,78,0.3,0,12,38,22,61,4.9,0,12
2015/1/2 03:00,1420196400000,12,9,52,0.8,0,12,68,51,79,0.4,0,12,34,16,61,4.9,0,12
