®H¨½ PM10,®H¨½ PM2.5,®H¨½ RH,®H¨½ Temp,®H¨½ Rain,®H¨½ Wind
68,55,77,11,0,0.3
66,51,78,11,0,0.3
57,47,78,11,0,0.3
54,40,79,10,0,0.5
48,32,79,10,0,0.1
43,32,80,10,0,0.4
44,30,80,9,0,0.1
44,28,81,9,0,0.3
48,34,76,11,0,0.6
50,35,66,14,0,0.4
50,31,58,17,0,0.5
51,38,53,19,0,1.3
50,39,52,20,0,2.4
56,41,53,20,0,3.3
60,45,52,20,0,2.3
68,49,52,20,0,3.3
82,54,51,19,0,2.2
86,54,53,18,0,1.2
94,60,60,17,0,1.1
95,64,65,15,0,0.6
92,63,70,14,0,0.4
92,63,72,13,0,0.5
86,58,75,13,0,0.2
81,50,77,12,0,0.7
72,50,78,12,0,0.6
67,55,78,12,0,0.3
68,54,78,12,0,0.3
68,51,79,12,0,0.4
61,54,80,12,0,0.4
59,51,81,11,0,0.3
60,48,81,11,0,0.2
62,46,81,11,0,0.1
66,49,79,12,0,0.5
64,49,71,14,0,0.9
67,43,61,16,0,0.9
71,43,57,18,0,1.1
70,43,56,19,0,2.5
73,44,56,19,0,3.2
81,50,56,19,0,3.6
84,54,56,18,0,3.2
87,57,58,17,0,2.9
97,63,60,16,0,1.8
101,64,60,16,0,1.2
101,69,63,16,0,0.9
105,73,63,16,0,0.7
105,70,66,15,0,0.3
104,76,71,14,0,0.3
101,78,71,14,0,0.1
99,73,74,14,0,0.9
93,68,74,14,0,0.5
86,64,75,14,0,0.7
87,68,74,14,0,0.3
86,66,76,14,0,0.5
81,62,77,13,0,0.5
81,60,78,13,0,0.5
82,61,78,13,0,0.7
84,69,76,14,0,0.2
89,71,71,15,0,0.5
78,65,59,18,0,0.7
55,53,49,20,0,0.4
48,43,48,21,0,1.2
51,42,46,21,0,2.7
64,48,50,20,0,3.5
89,65,55,19,0,2.6
101,80,55,19,0,1.1
106,80,58,18,0,1.1
112,80,63,17,0,0.4
117,84,66,17,0,0.2
121,92,69,16,0,0.8
116,92,69,16,0,0.5
115,89,70,16,0,0.2
114,88,73,15,0,0.6
109,90,73,15,0,0.5
100,89,77,15,0,0.6
90,81,79,14,0,0.6
83,74,80,13,0,0.6
79,68,81,12,0,0.5
76,60,81,12,0,0.3
73,58,80,12,0,0.3
77,64,81,12,0,0.1
75,65,77,13,0,0.1
76,61,69,16,0,0.2
72,55,59,18,0,0.3
54,40,50,21,0,0.4
39,28,46,22,0,1.1
32,24,42,23,0,1.7
35,25,44,23,0,3.2
45,32,46,22,0,3.3
59,43,50,21,0,3.1
72,49,55,20,0,1
81,57,60,18,0,1.1
81,62,65,17,0,0.7
73,58,70,16,0,0.6
72,56,72,15,0,0.4
73,56,75,14,0,0.4
66,51,76,14,0,0.5
59,47,77,13,0,0.1
56,46,78,13,0,0.5
56,44,79,12,0,0.4
53,41,80,12,0,0.6
50,40,80,12,0,0.6
48,40,80,11,0,0.2
49,40,81,11,0,0.4
55,40,80,11,0,0.5
65,43,75,13,0,0.2
70,46,67,16,0,0.5
56,39,58,19,0,0.2
40,29,50,22,0,0.6
26,20,46,24,0,1.9
15,8,44,25,0,1.9
17,5,43,25,0,2.2
21,12,43,25,0,1.9
24,17,46,24,0,1.8
39,24,53,22,0,1.4
42,25,56,21,0,1.6
32,18,57,20,0,1.1
40,25,66,18,0,0.3
50,30,72,17,0,0.5
44,23,73,17,0,0.4
35,22,74,16,0,0.2
32,19,76,15,0,0.7
29,16,78,15,0,0.3
28,16,78,15,0,0.1
28,17,79,14,0,0.5
24,19,78,15,0,0.4
23,18,78,15,0,0.1
26,18,78,15,0,0.3
32,19,78,15,0,0.1
46,19,75,16,0,0.3
45,20,65,19,0,0.2
29,17,55,22,0,0.4
18,10,49,25,0,1.1
17,5,45,26,0,2
24,11,46,27,0,3.6
28,11,48,26,0,3.7
29,10,49,26,0,2.6
42,15,54,24,0,2.6
56,27,58,23,0,1.2
70,39,61,23,0,0.6
76,47,67,21,0,0.6
66,42,68,21,0,0.8
56,34,70,20,0,0.8
61,44,72,20,0,0.5
65,51,74,19,0,0.5
67,48,77,19,0,0.3
65,42,77,18,0,0.4
60,43,77,18,0,0.7
56,43,77,18,0,0.2
53,43,78,18,0,0.6
53,42,80,18,0,0.4
55,42,80,18,0,0.6
64,46,81,18,0,0.4
73,51,77,19,0,0.1
76,55,74,20,0,0.4
82,56,72,21,0,0.3
75,56,68,22,0,1.7
60,47,65,22,0,3
60,46,67,21,0,3.7
60,47,66,21,0,1.5
64,49,66,22,0,1.2
68,50,68,21,0,1.4
67,50,70,20,0,1.3
68,54,72,19,0,0.8
65,51,73,18,0,0.7
55,42,74,17,0,1.1
53,37,74,17,0,1.8
53,34,75,16,0,1.6
50,33,78,16,0,0
50,32,78,16,0,0.7
49,31,78,16,0,1.2
42,30,78,15,0,0.8
38,29,78,15,0,0.7
43,26,78,15,0,0.8
49,28,77,15,0,0.7
55,38,79,14,0,1.1
72,40,81,14,0,0.8
82,43,81,14,0,0.9
73,46,81,14,0,0.5
68,45,79,15,0,0.4
73,49,77,16,0,0.5
71,54,76,17,0,0.4
64,49,72,18,0,0.7
57,40,68,20,0,1.4
50,31,66,20,0,2.4
54,33,65,18,0,2.5
67,41,66,17,0,1.7
73,50,67,16,0,1.6
77,56,65,16,0,1.3
78,54,66,16,0,1
77,53,67,16,0,0.6
79,57,68,16,0,1.1
81,58,68,15,0,0.9
82,60,69,15,0,0.6
78,60,70,15,0,0.7
72,59,70,15,0,0.6
75,58,70,15,0,0.7
76,55,70,15,0,0.6
68,47,68,14,0,0.6
48,29,65,14,0,1.3
33,15,63,14,0,2
33,12,63,15,0,1
43,25,63,16,0,0.1
53,38,59,17,0,0.2
54,35,57,18,0,0.5
57,33,55,19,0,1.8
56,38,52,20,0,1.7
54,39,53,19,0,3.2
59,38,53,19,0,3.1
59,41,55,18,0,2.6
68,44,60,17,0,2.3
72,44,61,17,0,1.6
73,45,65,16,0,0.3
79,48,68,15,0,0.9
76,49,69,15,0,0.1
81,49,69,15,0,0.6
75,45,70,15,0,0.5
64,43,71,15,0,0.2
66,48,73,15,0,0.6
64,51,73,15,0,0.3
61,50,74,15,0,0.6
57,49,75,15,0,0.7
57,45,76,15,0,0.5
59,41,76,15,0,0.6
61,40,77,15,0,0.5
66,41,75,15,0,0.3
65,44,69,16,0,0.6
62,41,60,18,0,0.7
59,40,52,18,0,0.7
56,41,49,19,0,0.8
55,37,49,20,0,1.9
53,32,48,20,0,1.5
60,38,49,20,0,2.6
83,56,55,19,0,3
103,72,59,18,0,2
92,63,60,18,0,1
78,51,62,17,0,0.6
83,54,68,16,0,0.8
82,49,70,15,0,0.7
78,48,72,15,0,0.6
76,56,74,14,0,0.5
76,61,75,14,0,0.5
73,57,78,13,0,0.3
67,50,79,13,0,0.5
65,49,80,12,0,0.3
66,53,80,12,0,0.5
64,53,80,12,0,0.3
56,47,77,12,0,0.3
55,45,78,12,0,0.4
60,46,73,14,0,0.4
61,45,66,16,0,0.4
53,40,51,19,0,0.1
33,25,40,21,0,0.1
23,15,39,22,0,1.3
26,16,32,23,0,3.7
28,15,31,23,0,3.9
33,17,34,22,0,3.4
39,23,35,22,0,2.1
43,24,40,20,0,0.9
51,32,48,18,0,1.4
57,39,52,17,0,0.4
59,39,55,17,0,0.1
57,37,60,16,0,0.4
50,32,62,16,0,0.3
44,31,63,16,0,0.1
43,32,68,15,0,0.3
37,28,67,15,0,0.2
37,27,69,15,0,0.6
37,30,70,15,0,0.2
37,27,74,14,0,0.5
37,24,73,14,0,0.5
35,24,74,14,0,0.7
43,25,74,14,0,0.4
51,27,72,15,0,0.4
45,29,64,17,0,0.7
35,29,53,20,0,0.8
28,19,48,21,0,0.9
20,13,42,23,0,1.1
34,26,46,23,0,3.7
54,39,48,22,0,3.6
56,40,48,22,0,2.4
55,43,49,21,0,2.2
59,42,51,21,0,0.6
70,45,57,20,0,0.7
77,53,61,19,0,0.8
81,59,64,19,0,0.6
76,56,63,18,0,0.3
66,47,64,18,0,0.3
60,43,66,18,0,0.6
56,43,68,17,0,0.7
59,43,69,17,0,0.5
60,44,71,17,0,0.6
65,44,72,16,0,0.5
65,40,73,16,0,0.6
59,37,73,16,0,1.4
55,32,72,16,0,0.2
61,34,73,16,0,0.6
66,41,65,18,0,1.4
53,30,55,20,0,3.1
44,19,52,21,0,2.4
44,21,50,22,0,1.9
43,23,49,23,0,1
51,25,50,23,0,3.7
76,41,54,22,0,4.2
95,62,61,21,0,3.7
104,76,67,20,0,3.4
108,75,71,18,0,2.5
99,64,73,18,0,2.9
98,58,74,17,0,2.4
104,57,76,17,0,2.2
93,48,79,16,0.2,2.9
53,23,84,15,0.8,2
18,8,84,15,0.6,1.2
11,8,83,15,0.6,0.7
12,5,82,15,1.2,1.1
7,3,82,15,1.8,1.4
4,0,81,15,0.8,0.9
6,0,83,15,0.4,0.7
7,1,83,15,0.6,0.4
10,3,83,15,1.4,0.5
15,3,84,15,0.4,0.5
16,4,84,15,0.2,0.3
13,7,81,16,0,0.4
13,7,75,18,0,0.4
11,5,70,20,0,2.2
12,5,69,20,0,2.8
13,7,66,21,0,2.7
13,5,64,21,0,3.1
13,5,64,21,0,3.2
12,7,66,20,0,2.7
16,10,73,18,0,1.6
20,12,76,17,0,1.4
24,15,76,18,0,1
28,16,77,17,0,1.2
26,18,78,16,0,1.1
24,15,80,16,0,0.8
27,13,80,15,0,0.7
27,16,81,15,0,0.8
26,15,81,15,0,0.3
23,12,83,14,0,0.3
22,12,84,14,0,0.2
21,13,84,14,0,0.3
20,13,84,14,0,0.4
21,13,84,13,0,0.4
18,11,84,13,0,0.9
23,14,81,13,0,0.8
28,15,75,16,0,0.1
27,16,63,19,0,0.2
17,10,49,22,0,1
9,0,50,23,0,2.2
11,3,50,23,0,3.3
17,8,49,23,0,4.4
24,12,51,22,0,3.4
33,17,54,21,0,2.8
48,26,59,20,0,2.3
53,30,62,19,0,2.3
51,31,63,18,0,1
59,37,65,18,0,0.5
67,46,67,18,0,0.6
62,45,71,17,0,0.9
53,38,72,17,0,0.7
49,38,74,17,0,0.7
45,31,76,16,0,0.7
43,31,75,16,0,0.5
46,33,77,16,0,0.8
46,33,79,16,0,0.6
44,31,79,15,0,0.7
42,27,80,15,0,0.6
42,25,78,15,0,0.5
49,25,76,16,0,0.7
45,26,66,18,0,0.2
34,20,54,20,0,0.5
22,10,41,21,0,0.7
13,2,36,22,0,2
28,11,46,22,0,4.1
45,26,46,22,0,3.3
49,30,47,22,0,3.6
57,32,55,20,0,3.4
65,34,61,19,0,2.1
65,35,64,18,0,1.8
64,35,64,18,0,1.1
62,34,65,18,0,0.7
60,34,67,18,0,0.5
64,33,71,17,0,1
62,35,75,16,0,0.8
54,39,76,15,0,0.8
50,35,78,15,0,0.7
44,29,80,14,0,0.6
40,24,80,14,0,0.2
40,22,81,13,0,0.7
37,24,81,12,0,0.6
33,23,83,11,0,0.7
34,24,81,12,0,0.4
39,27,76,13,0,0.4
39,26,66,16,0,0.3
38,22,54,18,0,0.4
35,20,50,20,0,0.9
32,17,48,21,0,2.2
34,22,48,21,0,3.8
45,30,46,21,0,2.9
57,34,47,21,0,3.4
72,45,50,20,0,3.4
86,54,53,18,0,1.9
92,60,56,17,0,1.1
98,69,63,16,0,0.4
99,76,66,15,0,0.7
95,76,70,14,0,0.8
