퐑�� PM10,퐑�� PM2.5,퐑�� RH,퐑�� Temp,퐑�� Rain,퐑�� Wind
40,24,67,15,0,3.5
55,31,64,15,0,5.3
93,53,68,15,0,5.2
126,73,69,15,0,5.4
131,77,68,14,0,5.4
128,75,66,14,0,6.1
117,69,65,14,0,6.3
105,59,65,14,0,5.5
100,50,60,15,0,6.4
101,49,54,16,0,5.5
119,50,47,18,0,6.9
149,52,48,18,0,7.3
164,52,49,18,0,7.8
152,47,51,18,0,7.5
138,39,53,17,0,8.4
133,37,54,16,0,8.4
116,36,55,15,0,7.4
86,32,53,14,0,7
59,28,53,13,0,7
50,24,54,13,0,6.3
50,26,56,12,0,6.8
43,22,55,12,0,6.4
38,16,56,12,0,6
39,17,57,12,0,5.6
37,16,59,12,0,5.2
37,20,60,12,0,5.2
38,22,61,12,0,4.9
34,16,61,12,0,4.9
32,11,62,12,0,4.5
35,12,63,12,0,4.1
39,16,64,12,0,4.8
43,19,65,12,0,4
45,22,61,13,0,5
50,22,56,14,0,4.8
59,25,53,16,0,3.4
70,32,52,17,0,3.1
78,34,51,18,0,4
78,37,54,18,0,3.9
78,37,56,19,0,3.5
83,33,60,18,0,3.9
81,30,63,17,0,4
67,27,65,17,0,4.8
56,23,62,16,0,4
48,20,61,16,0,3.5
45,22,62,15,0,3.4
45,26,64,14,0,2.5
40,27,66,14,0,2.8
43,26,68,13,0,2.6
45,22,68,13,0,2.9
40,20,67,13,0,3
38,23,67,13,0,2.7
37,21,67,13,0,3.2
33,13,68,12,0,3.2
29,12,69,12,0,2.1
28,18,70,13,0,0.9
33,21,72,13,0,0.6
57,31,72,14,0,0.7
66,32,70,16,0,2.5
60,24,63,18,0,2.3
61,25,60,19,0,1.4
53,24,61,19,0,2
42,21,61,19,0,1.3
45,27,63,19,0,1.1
53,31,64,19,0,1
56,29,64,18,0,0.4
55,25,69,18,0,1.3
56,23,70,17,0,1.6
51,23,74,17,0,1.2
56,26,76,17,0,1.3
81,46,77,16,0,0.8
86,54,78,16,0,0.9
81,46,79,15,0,1.2
84,52,79,15,0,1.3
89,57,79,15,0,1.5
97,64,80,14,0,1.5
97,64,81,14,0,1.5
89,65,82,13,0,1.6
94,65,83,13,0,1.5
92,59,82,13,0,1.5
90,65,82,13,0,1.4
95,66,78,15,0,1.7
90,57,74,18,0,1.1
98,57,74,19,0,0.7
86,48,73,19,0,1.6
61,36,71,20,0,1.3
54,34,72,20,0,0.8
54,35,72,20,0,0.2
60,33,72,20,0,0.5
60,33,73,19,0,0.4
68,41,75,18,0,1.3
92,61,78,18,0,1.5
108,77,82,17,0,1.6
104,76,84,17,0,1.3
117,88,85,17,0,0.8
138,100,84,16,0,1.2
127,90,79,16,0,1.6
104,74,78,16,0,2
90,63,77,16,0,2.2
76,58,76,16,0,2.5
64,50,76,16,0,2.5
51,46,75,16,0,2.4
55,48,76,15,0,1.3
75,52,79,15,0,1.5
89,64,80,15,0,1
121,90,74,17,0,1
116,80,62,20,0,1.3
104,62,66,21,0,1
110,68,70,21,0,1.1
86,58,69,22,0,0.2
73,47,69,22,0,1
98,54,67,22,0,0.5
122,60,59,24,0,1.2
100,51,69,22,0,1
75,43,83,20,0,0.4
68,44,85,19,0,1
59,38,87,19,0,0.1
54,37,88,19,0,1.4
66,43,89,19,0,1.2
72,41,89,19,0,1.2
68,41,90,19,0,1.4
68,48,90,19,0,1.6
76,53,89,19,0,1.2
84,56,85,18,0,1.3
79,54,82,18,0,1.2
68,46,80,18,0,1.1
56,40,78,18,0,0.6
49,35,77,18,0,0.9
59,33,78,19,0,1
73,40,79,20,0,1
76,41,67,22,0,2.2
75,36,65,23,0,1.5
62,32,65,23,0,1.1
53,32,66,23,0,0.9
62,34,66,23,0,0.3
67,31,70,22,0,0.8
56,31,73,21,0,0.8
56,34,79,20,0,1.3
66,41,82,20,0,0.5
84,50,84,20,0,2.3
127,77,83,19,0,3.9
152,101,82,19,0,4.9
137,87,82,19,0,5.7
112,68,81,19,0,3.8
106,71,80,19,0,2.5
111,72,82,19,0,2.4
87,54,84,18,0,4.6
62,35,83,18,0,5.7
51,31,81,18,0,5.5
50,29,81,18,0,4.8
54,25,84,18,0,6.6
43,18,85,17,0,7
32,12,83,16,0,5.8
35,10,81,17,0,6.2
46,9,77,17,0,7
53,9,75,18,0,7
51,8,75,18,0,6.6
51,8,70,19,0,6.3
51,15,68,19,0,6.5
54,20,71,18,0,6.8
53,16,73,17,0,7.6
48,13,73,16,0,7
46,16,74,16,0,6.9
50,18,73,15,0,7.8
50,20,74,15,0,8.4
51,23,72,15,0,7.9
48,23,70,14,0,7.6
46,22,70,14,0,6.9
49,21,68,14,0,7
46,24,68,14,0,7.8
50,28,67,14,0,8.3
59,27,66,14,0,8.2
60,29,66,13,0,7.9
62,36,65,13,0,7.8
66,38,65,13,0,7.7
68,40,65,12,0,7.5
78,42,65,12,0,7.2
87,41,62,13,0,7.4
89,40,56,14,0,6.8
92,41,51,16,0,7.1
106,46,49,17,0,6.8
121,49,51,17,0,7.2
128,52,52,17,0,7.1
127,56,57,17,0,7
114,60,59,16,0,7.4
101,52,60,16,0,6.6
87,40,60,15,0,5.9
71,38,58,15,0,5.6
67,41,58,14,0,5.3
72,43,60,14,0,4.8
72,39,62,14,0,5.1
64,36,60,14,0,5.5
56,34,59,14,0,4.7
55,31,60,14,0,4.1
48,24,61,14,0,4.7
42,20,62,14,0,3.8
38,20,65,13,0,3
33,16,66,14,0,4.6
32,13,64,14,0,5.2
32,18,63,14,0,5.4
37,21,64,14,0,4.7
49,21,62,15,0,5.4
49,23,58,16,0,5
56,24,55,18,0,4.7
79,27,55,19,0,4.2
99,34,59,19,0,4.5
97,35,60,19,0,2.9
88,33,62,19,0,3.2
84,35,64,19,0,3.7
78,34,67,18,0,4.6
72,29,69,17,0,5.8
60,29,70,17,0,5.4
51,30,67,16,0,4.1
51,28,66,16,0,4.3
53,26,65,16,0,4.4
51,24,66,16,0,4.3
53,24,69,15,0,4
55,26,71,15,0,3.4
50,25,71,14,0,3.5
40,23,72,14,0,3.4
42,24,73,14,0,3.5
44,21,72,14,0,4.2
48,17,71,14,0,3.1
38,17,71,14,0,3
31,16,70,14,0,3.4
40,16,66,15,0,3.2
43,18,62,17,0,2.1
48,22,58,18,0,1.9
64,24,55,20,0,0.7
76,21,54,21,0,1.3
76,20,57,21,0,0.8
76,25,59,20,0,2.9
79,28,60,20,0,4.1
87,37,64,19,0,4
78,39,67,18,0,4.3
59,29,65,18,0,4.5
48,27,63,18,0,4.5
49,29,63,17,0,4.1
48,26,63,17,0,3.6
45,23,64,17,0,3
48,28,66,16,0,2.5
51,33,68,16,0,1.4
54,31,71,15,0,1.5
54,31,72,15,0,1.8
53,33,73,15,0,1.6
49,33,74,14,0,1
51,34,79,14,0,0.8
54,36,80,14,0,0.6
64,47,80,14,0,0.9
77,54,77,15,0,1.3
89,55,69,17,0,1
90,50,65,19,0,1.3
68,36,62,20,0,1
50,26,58,21,0,2.1
62,31,55,22,0,1.9
82,34,56,22,0,1.6
93,28,59,21,0,2.7
87,32,61,20,0,4.2
68,34,64,19,0,3.7
61,29,65,18,0,4.4
61,25,63,18,0,4.3
51,26,62,17,0,3.5
43,33,62,17,0,3.1
50,35,63,17,0,2.7
50,30,64,17,0,2.3
55,29,64,17,0,2.8
59,34,64,17,0,2.6
53,31,66,16,0,1.6
54,26,67,16,0,1.3
50,28,69,16,0,0.1
49,32,70,16,0,0.9
50,33,73,16,0,0.9
62,40,75,16,0,0.4
76,48,73,17,0,1.9
71,44,63,19,0,1.5
82,44,62,20,0,1.2
75,41,63,20,0,1.2
68,38,56,22,0,0.6
79,38,57,22,0,2.1
100,36,55,22,0,3.2
114,37,61,21,0,3.6
105,38,64,21,0,4
84,31,66,19,0,4.3
70,26,69,19,0,4
57,25,70,19,0,2
56,25,72,18,0,3
54,25,72,18,0,1.5
51,22,72,18,0,0.6
56,22,74,18,0,0.9
65,24,76,18,0,0.8
67,26,75,18,0,0.9
66,34,75,18,0,0.9
73,40,74,18,0,1.4
76,39,75,18,0,0.5
77,39,78,18,0,0.8
82,40,79,17,0,0.6
111,47,82,17,0,1.4
126,56,79,18,0,1.4
121,58,71,20,0,0.6
112,52,72,20,0,1.2
75,35,79,20,0,1.8
59,23,79,20,0,2.1
56,17,81,19,0,1.2
50,17,83,18,0,0.7
50,19,84,18,0,0.4
46,15,85,18,0,0.7
43,12,85,17,0,0.7
45,12,86,17,0,1.5
44,11,85,16,0,1.3
29,13,85,16,0,2.3
20,10,87,16,0.6,2.9
16,7,89,16,1.6,3.2
16,7,90,16,0.4,1.9
18,7,90,16,0.6,0.3
22,8,91,16,3.2,0.3
20,10,92,16,0.8,1.3
13,10,92,17,0,1.3
15,12,91,17,0.6,0.8
20,14,91,17,0.4,1.1
18,9,91,16,0,1.3
12,5,90,15,0,4.3
13,5,88,15,0,3.6
22,6,85,16,0,4.5
28,8,78,18,0,5.8
23,8,71,19,0,5.9
22,8,69,19,0,6.2
35,8,70,20,0,4.8
44,13,71,19,0,5.2
46,19,71,19,0,5.6
44,16,71,18,0,6.1
39,12,72,17,0,6.7
33,10,72,16,0,5.9
31,11,74,16,0,5.7
29,18,73,15,0,5.5
28,20,73,15,0,5.4
29,16,74,15,0,5.7
26,12,74,15,0,5.1
27,12,74,15,0,4.9
31,14,74,14,0,4.9
32,12,74,14,0,5.5
33,11,73,14,0,5.9
28,12,72,14,0,6.2
22,14,72,14,0,6.4
24,14,73,14,0,5.3
27,12,72,15,0,5.8
37,16,67,16,0,7
45,19,63,17,0,7
48,21,60,19,0,6.7
66,26,62,19,0,6.4
83,30,63,19,0,6.9
87,32,62,19,0,6.8
81,31,62,19,0,6.7
68,27,65,18,0,6.1
64,24,68,18,0,5.5
57,23,70,17,0,5.1
50,21,71,17,0,5.4
43,18,71,16,0,4.7
35,15,71,16,0,3.7
39,14,73,16,0,3.1
37,16,74,15,0,3.1
32,18,75,15,0,2.9
40,18,76,15,0,2.1
44,20,76,15,0,1.5
39,24,77,14,0,2.3
35,22,78,14,0,2.2
35,20,78,14,0,2.1
34,19,78,14,0,2.7
28,17,76,15,0,3.3
34,15,75,16,0,3.1
43,17,71,17,0,4.7
48,16,68,18,0,4.7
54,15,68,19,0,4.8
61,22,69,19,0,4.1
77,28,70,19,0,3.7
83,30,70,19,0,3.6
86,35,71,19,0,5.2
89,39,73,18,0,5.2
77,35,76,17,0,6.2
68,35,79,17,0,6.7
62,36,80,16,0,5.8
54,35,80,16,0,4.9
48,35,81,16,0,4.9
46,33,80,16,0,4.7
48,28,80,15,0,4.6
45,27,79,15,0,4.1
48,29,78,15,0,4
50,26,75,15,0,3.9
42,22,74,15,0,4.3
42,27,69,15,0,5.4
49,32,67,15,0,6.9
53,36,65,15,0,7.2
60,45,65,15,0,7.3
71,52,65,15,0,6.8
93,62,62,16,0,7.5
115,70,56,17,0,7.3
145,72,52,17,0,7.7
142,72,46,18,0,7.2
131,69,49,19,0,7.5
139,59,51,19,0,7.4
139,60,54,18,0,7.4
141,71,57,18,0,6.9
130,71,57,17,0,7.5
120,68,57,16,0,6.8
105,67,58,16,0,5.9
93,69,59,15,0,5.8
99,72,61,15,0,5.2
104,74,62,15,0,4.3
106,76,63,15,0,4
108,78,65,14,0,3.4
108,78,67,14,0,3
100,74,69,13,0,3
90,67,71,13,0,2.7
86,60,71,13,0,3.4
81,56,71,13,0,3.2
71,52,70,13,0,3.4
67,46,70,13,0,2.5
68,43,71,13,0,2.8
66,44,68,15,0,3.2
62,41,65,16,0,3.7
64,41,61,17,0,2.2
76,41,60,19,0,3.3
81,34,60,19,0,4
70,25,67,19,0,5.4
62,21,69,19,0,6.5
59,19,72,18,0,7.5
50,17,75,17,0,6.8
43,17,77,17,0,7.3
37,17,78,16,0,5.9
34,17,76,16,0,5.7
35,15,76,16,0,5.4
33,16,74,16,0,5.3
26,16,71,16,0,5.7
24,15,69,16,0,5.6
31,13,68,16,0,4.5
33,18,67,16,0,4.8
34,20,66,16,0,6.1
39,18,65,15,0,5.9
38,21,65,15,0,5
35,23,65,15,0,5.2
42,23,66,15,0,4.5
48,23,65,15,0,4.7
45,24,58,16,0,5.2
50,21,53,18,0,5.7
71,27,50,19,0,7.5
110,45,50,19,0,6.9
126,51,51,19,0,6.9
115,46,53,19,0,6.7
115,49,54,19,0,6.5
116,50,54,19,0,6.4
115,46,56,18,0,5.9
101,44,57,17,0,4.8
84,46,59,16,0,4.6
79,48,61,16,0,4.7
73,45,62,16,0,4.1
75,41,63,15,0,4.6
79,43,64,15,0,3.4
78,47,65,15,0,3
75,48,67,14,0,2.4
77,47,69,14,0,1.1
83,50,73,14,0,1.6
88,59,74,14,0,1
88,61,73,14,0,1.4
78,52,74,14,0,1.5
76,50,75,14,0,1.1
89,56,73,14,0,1
103,59,70,16,0,1
115,64,64,19,0,1
122,62,66,19,0,1.5
116,56,65,20,0,1.4
97,53,62,20,0,2
86,49,63,20,0,1.5
86,45,65,20,0,0.6
87,40,72,20,0,0.7
87,39,76,19,0,2.1
84,37,79,18,0,1.9
89,34,82,18,0,2.6
93,33,83,17,0,2.3
92,32,84,17,0,3.2
95,29,84,17,0,2.1
97,29,85,17,0,1.9
93,26,86,17,0,2.2
89,23,86,17,0,2.3
89,30,86,17,0,2.9
87,35,86,17,0,2.8
87,35,88,17,0,2.4
87,38,89,17,0,2.3
90,39,88,17,0,3.1
98,34,88,17,0,4.5
99,34,88,17,0,4.8
99,33,87,17,0,5.5
101,32,84,18,0,5.2
94,33,80,18,0,4.4
87,34,75,19,0,3.5
90,38,76,19,0,0.6
97,38,74,20,0,2.6
92,32,73,20,0,1.4
83,28,72,20,0,2.5
82,33,75,19,0,3.6
79,37,76,18,0,4.9
76,37,77,17,0,4
73,38,76,17,0,4.3
76,39,75,17,0,3.7
72,42,72,17,0,3.5
70,45,69,17,0,3.3
78,47,67,16,0,2.5
82,48,66,16,0,3.5
75,44,61,16,0,4.1
62,38,60,16,0,4.5
62,34,61,16,0,3.7
65,29,57,17,0,4.7
57,28,56,16,0,5.1
57,28,59,16,0,4.9
60,30,60,16,0,4.5
64,34,55,17,0,5.1
73,37,44,19,0,5.8
73,33,33,19,0,6.4
75,32,39,20,0,5.8
82,38,45,19,0,3.7
77,41,48,19,0,3.8
84,41,49,19,0,3.4
111,50,54,19,0,3.5
134,64,58,18,0,5
139,69,61,17,0,5.2
127,72,65,16,0,4.4
126,79,62,15,0,4.6
127,77,62,15,0,4
120,72,59,14,0,2.8
108,65,54,14,0,3
84,52,47,13,0,2.2
68,40,43,13,0,1.9
66,34,44,13,0,2.7
62,33,52,13,0,3.2
56,33,46,12,0,3
49,30,48,11,0,2.1
42,31,50,10,0,1.3
43,30,54,10,0,1.7
51,30,49,10,0,2
