Date,Time,Timestamp,station,Temp,PM10,PM2.5,Rain,RH,Wind,station,Temp,PM10,PM2.5,Rain,RH,Wind,station,Temp,PM10,PM2.5,Rain,RH,Wind
2015/5/3,22:00,1.42E+12,忠明,19,107,73,0,78,0.7,埔里,21,98,72,0,72,0.6,線西,20,89,61,0,77,3.6
2015/5/3,23:00,1.42E+12,忠明,19,99,79,0,78,0.7,埔里,20,95,80,0,74,0.7,線西,19,100,67,0,81,4.2
2015/5/4,00:00,1.42E+12,忠明,18,103,72,0,80,0.7,埔里,20,87,79,0,76,0.5,線西,18,93,53,0,82,4.9
2015/5/4,01:00,1.42E+12,忠明,17,84,57,0,80,0.6,埔里,19,75,69,0,78,0.5,線西,17,54,29,0,82,5.6
2015/5/4,02:00,1.42E+12,忠明,17,60,32,0,80,0.9,埔里,18,68,60,0,79,0.5,線西,16,31,16,0,81,6
2015/5/4,03:00,1.42E+12,忠明,16,46,22,0,78,0.9,埔里,18,67,59,0,81,0.3,線西,16,33,14,0,79,6.2
2015/5/4,04:00,1.42E+12,忠明,16,38,11,0,75,1,埔里,17,64,57,0,81,0.3,線西,16,40,23,0,77,5.6
2015/5/4,05:00,1.42E+12,忠明,16,41,13,0,74,0.8,埔里,17,62,54,0,81,0.7,線西,16,46,31,0,76,5.1
2015/5/4,06:00,1.42E+12,忠明,16,32,18,0,74,0.7,埔里,17,62,56,0,81,0.2,線西,16,53,37,0,75,5.9
2015/5/4,07:00,1.42E+12,忠明,16,41,22,0,73,0.6,埔里,18,68,59,0,79,0.3,線西,16,55,38,0,74,5.4
2015/5/4,08:00,1.42E+12,忠明,16,53,37,0,71,0.8,埔里,19,78,59,0,78,0.2,線西,16,55,31,0,72,4.5
2015/5/4,09:00,1.42E+12,忠明,17,56,30,0,68,0.6,埔里,20,87,65,0,74,0.5,線西,17,65,32,0,68,5.2
2015/5/4,10:00,1.42E+12,忠明,18,44,30,0,64,0.6,埔里,21,90,74,0,69,0.7,線西,18,65,35,0,68,5.3
2015/5/4,11:00,1.42E+12,忠明,19,31,29,0,63,0.9,埔里,23,71,60,0,64,1.2,線西,18,64,38,0,70,4.9
2015/5/4,12:00,1.42E+12,忠明,19,31,33,0,64,0.9,埔里,24,50,38,0,62,1.5,線西,19,70,34,0,68,5.3
2015/5/4,13:00,1.42E+12,忠明,19,34,26,0,65,1.2,埔里,24,46,30,0,60,1.8,線西,19,66,28,0,69,5.2
2015/5/4,14:00,1.42E+12,忠明,19,38,27,0,65,1.2,埔里,25,51,30,0,60,1.7,線西,19,54,23,0,68,5.5
2015/5/4,15:00,1.42E+12,忠明,19,39,25,0,64,0.9,埔里,23,72,41,0,64,2.1,線西,18,55,24,0,71,5.2
2015/5/4,16:00,1.42E+12,忠明,18,37,24,0,69,1.3,埔里,22,89,59,0,67,1.7,線西,17,55,29,0,73,4.8
2015/5/4,17:00,1.42E+12,忠明,17,34,26,0,70,1.4,埔里,22,86,63,0,67,2.3,線西,17,44,26,0,74,4.8
2015/5/4,18:00,1.42E+12,忠明,17,35,26,0,72,0.8,埔里,21,77,61,0,67,1.8,線西,17,39,22,0,75,4.7
2015/5/4,19:00,1.42E+12,忠明,17,31,24,0,73,1,埔里,20,83,68,0,68,1.5,線西,16,38,21,0,76,4.5
2015/5/4,20:00,1.42E+12,忠明,16,22,23,0,74,1,埔里,20,86,70,0,69,1,線西,16,34,25,0,78,6.1
2015/5/4,21:00,1.42E+12,忠明,16,20,23,0,77,1.2,埔里,20,88,72,0,70,0.7,線西,16,29,24,0,80,5.2
2015/5/4,22:00,1.42E+12,忠明,16,20,23,0,77,0.7,埔里,20,93,77,0,71,1,線西,16,20,18,0,83,4.5
2015/5/4,23:00,1.42E+12,忠明,16,25,14,0,79,0.8,埔里,20,90,79,0,71,0.3,線西,16,20,18,0,82,5.7
2015/5/5,00:00,1.42E+12,忠明,16,16,15,0,80,0.6,埔里,19,92,83,0,72,0.9,線西,16,27,20,0,83,4.8
2015/5/5,01:00,1.42E+12,忠明,16,20,12,0,80,0.6,埔里,19,89,83,0,72,0.2,線西,15,26,18,0,83,4.6
2015/5/5,02:00,1.42E+12,忠明,15,21,13,0,81,0.5,埔里,19,84,77,0,73,0.5,線西,16,24,15,0,82,4.9
2015/5/5,03:00,1.42E+12,忠明,15,29,12,0,82,0.6,埔里,19,82,73,0,73,0.2,線西,16,21,15,0,82,4.6
2015/5/5,04:00,1.42E+12,忠明,15,21,16,0,82,0.6,埔里,19,81,74,0,74,0.1,線西,16,20,14,0,82,4.7
2015/5/5,05:00,1.42E+12,忠明,15,19,15,0,81,0.8,埔里,18,82,76,0,77,0.1,線西,15,27,17,0,83,4.2
2015/5/5,06:00,1.42E+12,忠明,15,13,10,0,82,0.7,埔里,18,83,75,0,78,0.5,線西,15,24,17,0,83,3.6
2015/5/5,07:00,1.42E+12,忠明,16,25,14,0,80,0.2,埔里,18,94,75,0,77,0.3,線西,16,32,15,0,82,1.8
2015/5/5,08:00,1.42E+12,忠明,18,35,28,0,73,0.7,埔里,20,109,80,0,73,0.7,線西,17,46,20,0,80,0.5
2015/5/5,09:00,1.42E+12,忠明,19,48,36,0,69,1.5,埔里,22,111,86,0,67,0.8,線西,19,44,17,0,77,1.7
2015/5/5,10:00,1.42E+12,忠明,21,49,36,0,64,1,埔里,25,89,75,0,58,1.3,線西,20,40,11,0,74,3.2
2015/5/5,11:00,1.42E+12,忠明,21,57,24,0,64,1.5,埔里,26,68,50,0,55,3.9,線西,20,44,14,0,74,4.2
2015/5/5,12:00,1.42E+12,忠明,21,63,30,0,66,1.9,埔里,25,75,48,0,56,3.9,線西,20,49,18,0,74,4.4
2015/5/5,13:00,1.42E+12,忠明,21,65,26,0,66,1,埔里,24,88,63,0,58,3.8,線西,20,45,14,0,74,2.7
2015/5/5,14:00,1.42E+12,忠明,21,59,30,0,65,1.8,埔里,24,97,76,0,60,3,線西,20,48,16,0,73,2.4
2015/5/5,15:00,1.42E+12,忠明,20,56,26,0,66,0.9,埔里,23,104,87,0,61,3.4,線西,20,49,18,0,76,2.7
2015/5/5,16:00,1.42E+12,忠明,20,58,29,0,67,0.8,埔里,22,110,93,0,65,2.5,線西,20,42,11,0,82,3.7
