忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind
85,44,65,15,0,0.5
75,37,62,15,0,1.4
62,38,61,15,0,1.4
45,22,61,14,0,1.5
53,29,62,14,0,1.2
88,43,63,14,0,1.5
111,61,62,13,0,1.8
121,65,61,13,0,1.5
108,62,58,14,0,1.7
97,57,51,16,0,0.8
89,46,45,18,0,1.3
89,42,39,19,0,1
89,44,37,19,0,1
93,43,36,19,0,1.5
93,44,37,18,0,1.5
88,37,39,17,0,1.1
87,39,42,16,0,1
77,28,46,14,0,1
72,29,49,13,0,0.8
63,22,50,13,0,1.9
56,24,52,12,0,1.9
49,21,53,12,0,1.9
46,27,53,12,0,1.9
40,26,52,12,0,1.5
38,18,52,12,0,1.5
21,10,53,12,0,1.5
14,10,52,12,0,1.9
12,9,52,12,0,0.8
24,11,53,12,0,1.2
30,4,53,12,0,0.8
30,12,54,12,0,1.7
29,11,54,12,0,1.4
25,15,54,13,0,0.5
32,19,51,14,0,0.5
37,22,48,15,0,0.5
48,27,45,17,0,0.9
50,30,42,18,0,0.6
58,36,42,19,0,0.6
65,38,43,19,0,0.4
76,43,43,20,0,0.9
83,45,47,18,0,0.9
95,43,49,17,0,0.8
92,42,52,16,0,0.7
84,44,54,16,0,0.5
75,46,56,15,0,0.4
71,42,57,15,0,0.6
72,31,60,14,0,1.2
68,30,62,14,0,0.4
67,23,62,14,0,0.4
60,25,63,14,0,0.7
55,28,64,13,0,0.6
46,29,66,13,0,0.4
45,31,67,13,0,0.5
37,25,67,13,0,0.4
40,31,66,13,0,0.3
41,25,66,14,0,0.1
52,31,64,15,0,0.4
66,33,60,16,0,0.4
70,44,55,18,0,0.6
83,50,49,19,0,0.2
85,56,45,21,0,1.1
88,55,42,22,0,1.3
83,53,43,21,0,1.3
77,49,45,20,0,1.6
79,45,50,19,0,1.1
82,43,53,18,0,0.6
82,42,57,18,0,0.8
91,51,60,17,0,0.8
98,51,63,17,0,0.7
107,54,66,16,0,0.4
109,53,66,16,0,0.2
101,59,68,16,0,0.3
102,64,68,15,0,0.5
98,69,68,15,0,0.4
101,69,69,15,0,0.4
92,67,68,15,0,0.4
86,62,71,14,0,0.2
78,60,72,14,0,0.2
71,56,73,13,0,0.3
70,53,74,14,0,0.3
73,50,68,15,0,0.3
79,54,58,17,0,0.1
81,50,48,20,0,0.3
77,49,44,22,0,0.3
68,45,44,23,0,0.3
57,38,43,23,0,1.4
52,33,44,23,0,1.5
48,32,45,22,0,1.7
54,37,48,22,0,1.5
55,44,53,20,0,0.8
64,43,55,20,0,1.3
74,54,56,19,0,0.7
99,59,60,18,0,0.5
112,73,62,18,0,0.2
121,83,65,17,0,0.4
106,81,66,17,0,0.4
98,79,68,16,0,0.2
87,69,70,16,0,0.4
83,69,70,16,0,0.4
82,62,71,16,0,0.3
81,55,72,15,0,0.1
75,49,72,15,0,0.4
70,55,69,15,0,0.3
68,56,68,16,0,0.1
79,67,64,17,0,0.2
97,68,54,20,0,0.1
119,80,45,22,0,0.1
117,68,37,25,0,0.3
81,51,35,26,0,0.5
45,22,35,27,0,0.6
30,16,38,27,0,1
46,14,42,26,0,0.8
54,31,43,26,0,0.9
69,32,46,24,0,0.7
80,43,52,23,0,0.6
94,48,58,22,0,0.6
100,55,60,22,0,0.9
104,56,68,20,0,0.4
106,60,74,19,0,0.1
100,60,73,19,0,0.2
96,68,77,18,0,0.1
94,56,78,18,0,0.4
87,60,75,18,0,0.3
78,47,72,19,0,0.2
66,44,74,18,0,0.3
49,35,72,18,0,0.2
43,31,70,18,0,0.3
37,28,68,19,0,0.3
51,29,62,20,0,0.2
59,32,54,23,0,0.4
56,29,47,25,0,2
53,26,44,26,0,1.4
43,19,42,27,0,1.1
48,16,45,27,0,1.1
54,25,50,25,0,1.6
66,26,53,24,0,2.1
74,35,59,23,0,1.1
75,39,63,22,0,0.6
81,40,64,22,0,0.4
84,43,66,21,0,0.9
102,50,71,20,0,0.7
124,81,72,19,0,0.8
135,96,72,19,0,1.5
138,102,70,20,0,0.9
117,90,70,20,0,0.5
114,77,71,19,0,1
90,63,75,18,0,0.8
74,48,75,18,0,0.8
48,38,74,18,0,1.4
39,31,74,18,0,0.6
26,26,75,17,0,0.8
23,21,76,17,0,0.8
23,18,73,17,0,1.1
31,14,69,18,0,0.9
36,25,66,18,0,1
27,22,62,19,0,1.1
36,20,60,20,0,1.3
30,20,60,19,0,1.5
40,16,59,19,0,1.2
34,14,61,18,0,1.3
37,11,64,17,0,1.1
