忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
35 ,16 ,41 ,44 ,55 ,24 
33 ,18 ,44 ,37 ,51 ,31 
36 ,19 ,45 ,38 ,47 ,53 
37 ,16 ,42 ,22 ,40 ,73 
39 ,11 ,41 ,29 ,32 ,77 
32 ,8 ,40 ,43 ,32 ,75 
29 ,8 ,38 ,61 ,30 ,69 
25 ,8 ,39 ,65 ,28 ,59 
36 ,9 ,40 ,62 ,34 ,50 
42 ,10 ,42 ,57 ,35 ,49 
46 ,10 ,48 ,46 ,31 ,50 
41 ,10 ,54 ,42 ,38 ,52 
43 ,11 ,57 ,44 ,39 ,52 
42 ,12 ,54 ,43 ,41 ,47 
44 ,19 ,47 ,44 ,45 ,39 
46 ,27 ,41 ,37 ,49 ,37 
48 ,33 ,35 ,39 ,54 ,36 
43 ,41 ,31 ,28 ,54 ,32 
36 ,49 ,31 ,29 ,60 ,28 
34 ,58 ,36 ,22 ,64 ,24 
39 ,56 ,38 ,24 ,63 ,26 
38 ,51 ,39 ,21 ,63 ,22 
43 ,51 ,42 ,27 ,58 ,16 
39 ,51 ,43 ,26 ,50 ,17 
46 ,52 ,41 ,18 ,50 ,16 
39 ,51 ,40 ,10 ,55 ,20 
37 ,43 ,41 ,10 ,54 ,22 
27 ,40 ,36 ,9 ,51 ,16 
23 ,38 ,34 ,11 ,54 ,11 
24 ,32 ,36 ,4 ,51 ,12 
15 ,27 ,36 ,12 ,48 ,16 
14 ,24 ,40 ,11 ,46 ,19 
17 ,22 ,38 ,15 ,49 ,22 
25 ,20 ,33 ,19 ,49 ,22 
35 ,14 ,35 ,22 ,43 ,25 
29 ,12 ,43 ,27 ,43 ,32 
22 ,10 ,51 ,30 ,43 ,34 
23 ,9 ,49 ,36 ,44 ,37 
26 ,16 ,44 ,38 ,50 ,37 
43 ,27 ,40 ,43 ,54 ,33 
42 ,31 ,35 ,45 ,57 ,30 
46 ,37 ,36 ,43 ,63 ,27 
46 ,47 ,34 ,42 ,64 ,23 
