,Timestamp,忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind,埔里 PM10,埔里 PM2.5,埔里 RH,埔里 Temp,埔里 Rain,埔里 Wind,線西 PM10,線西 PM2.5,線西 RH,線西 Temp,線西 Rain,線西 Wind
2015/1/1 00:00,1422748800000 ,85,44,65,15,0,0.5,68,55,77,11,0,0.3,40,24,67,15,0,3.5
2015/1/1 01:00,1422752400000 ,75,37,62,15,0,1.4,66,51,78,11,0,0.3,55,31,64,15,0,5.3
2015/1/1 02:00,1422756000000 ,62,38,61,15,0,1.4,57,47,78,11,0,0.3,93,53,68,15,0,5.2
2015/1/1 03:00,1422759600000 ,45,22,61,14,0,1.5,54,40,79,10,0,0.5,126,73,69,15,0,5.4
2015/1/1 04:00,1422763200000 ,53,29,62,14,0,1.2,48,32,79,10,0,0.1,131,77,68,14,0,5.4
2015/1/1 05:00,1422766800000 ,88,43,63,14,0,1.5,43,32,80,10,0,0.4,128,75,66,14,0,6.1
2015/1/1 06:00,1422770400000 ,111,61,62,13,0,1.8,44,30,80,9,0,0.1,117,69,65,14,0,6.3
2015/1/1 07:00,1422774000000 ,121,65,61,13,0,1.5,44,28,81,9,0,0.3,105,59,65,14,0,5.5
2015/1/1 08:00,1422777600000 ,108,62,58,14,0,1.7,48,34,76,11,0,0.6,100,50,60,15,0,6.4
2015/1/1 09:00,1422781200000 ,97,57,51,16,0,0.8,50,35,66,14,0,0.4,101,49,54,16,0,5.5
2015/1/1 10:00,1422784800000 ,89,46,45,18,0,1.3,50,31,58,17,0,0.5,119,50,47,18,0,6.9
2015/1/1 11:00,1422788400000 ,89,42,39,19,0,1,51,38,53,19,0,1.3,149,52,48,18,0,7.3
2015/1/1 12:00,1422792000000 ,89,44,37,19,0,1,50,39,52,20,0,2.4,164,52,49,18,0,7.8
2015/1/1 13:00,1422795600000 ,93,43,36,19,0,1.5,56,41,53,20,0,3.3,152,47,51,18,0,7.5
2015/1/1 14:00,1422799200000 ,93,44,37,18,0,1.5,60,45,52,20,0,2.3,138,39,53,17,0,8.4
2015/1/1 15:00,1422802800000 ,88,37,39,17,0,1.1,68,49,52,20,0,3.3,133,37,54,16,0,8.4
2015/1/1 16:00,1422806400000 ,87,39,42,16,0,1,82,54,51,19,0,2.2,116,36,55,15,0,7.4
2015/1/1 17:00,1422810000000 ,77,28,46,14,0,1,86,54,53,18,0,1.2,86,32,53,14,0,7
2015/1/1 18:00,1422813600000 ,72,29,49,13,0,0.8,94,60,60,17,0,1.1,59,28,53,13,0,7
2015/1/1 19:00,1422817200000 ,63,22,50,13,0,1.9,95,64,65,15,0,0.6,50,24,54,13,0,6.3
2015/1/1 20:00,1422820800000 ,56,24,52,12,0,1.9,92,63,70,14,0,0.4,50,26,56,12,0,6.8
2015/1/1 21:00,1422824400000 ,49,21,53,12,0,1.9,92,63,72,13,0,0.5,43,22,55,12,0,6.4
2015/1/1 22:00,1422828000000 ,46,27,53,12,0,1.9,86,58,75,13,0,0.2,38,16,56,12,0,6
2015/1/1 23:00,1422831600000 ,40,26,52,12,0,1.5,81,50,77,12,0,0.7,39,17,57,12,0,5.6
2015/1/2 00:00,1422835200000 ,38,18,52,12,0,1.5,72,50,78,12,0,0.6,37,16,59,12,0,5.2
2015/1/2 01:00,1422838800000 ,21,10,53,12,0,1.5,67,55,78,12,0,0.3,37,20,60,12,0,5.2
2015/1/2 02:00,1422842400000 ,14,10,52,12,0,1.9,68,54,78,12,0,0.3,38,22,61,12,0,4.9
2015/1/2 03:00,1422846000000 ,12,9,52,12,0,0.8,68,51,79,12,0,0.4,34,16,61,12,0,4.9
2015/1/2 04:00,1422849600000 ,24,11,53,12,0,1.2,61,54,80,12,0,0.4,32,11,62,12,0,4.5
2015/1/2 05:00,1422853200000 ,30,4,53,12,0,0.8,59,51,81,11,0,0.3,35,12,63,12,0,4.1
2015/1/2 06:00,1422856800000 ,30,12,54,12,0,1.7,60,48,81,11,0,0.2,39,16,64,12,0,4.8
2015/1/2 07:00,1422860400000 ,29,11,54,12,0,1.4,62,46,81,11,0,0.1,43,19,65,12,0,4
2015/1/2 08:00,1422864000000 ,25,15,54,13,0,0.5,66,49,79,12,0,0.5,45,22,61,13,0,5
2015/1/2 09:00,1422867600000 ,32,19,51,14,0,0.5,64,49,71,14,0,0.9,50,22,56,14,0,4.8
2015/1/2 10:00,1422871200000 ,37,22,48,15,0,0.5,67,43,61,16,0,0.9,59,25,53,16,0,3.4
