忠明時平均,忠明氣溫,忠明PM10,忠明PM2.5,忠明溼度,埔里氣溫,埔里PM10,埔里PM2.5,埔里溼度,線西氣溫,線西PM10,線西PM2.5,線西溼度
00:00,22.8,41.83,24.43,76.12,21.46,47.21,33.34,79.07,23.04,47.64,25.21,82.15
01:00,22.6,40.56,24.09,76.76,21.17,44.97,31.85,79.46,22.89,47.53,24.69,82.46
02:00,22.44,38.81,23.29,77.3,20.93,43.02,30.61,79.74,22.7,46.59,24.08,82.89
03:00,22.28,37.52,22.74,77.7,20.72,41.88,29.75,79.93,22.56,46.07,23.94,83.3
04:00,22.13,36.15,22.14,77.98,20.47,40.6,28.93,80.25,22.42,45.51,23.91,83.46
05:00,22.05,35.46,21.91,78.09,20.31,39.93,28.33,80.47,22.34,45.24,23.78,83.49
06:00,22.15,35.45,21.96,77.7,20.32,40.27,28.21,80.22,22.46,45.71,24.37,83.02
07:00,22.68,36.78,22.39,75.21,20.92,42.46,29.07,78.19,23.13,47.66,25.92,80.78
08:00,23.78,40.2,23.71,70.83,22.29,44.5,30.41,73.77,24.15,49.98,27.33,77.23
09:00,25.02,43.91,25.8,66.15,24.01,43.2,30.23,67.69,25.15,51.51,27.53,73.42
10:00,26.11,47.28,27.12,62.16,25.66,39.19,27.66,61.93,25.92,53.34,27.04,71.31
11:00,26.93,48.64,28.1,59.9,26.87,34.9,24.1,58.18,26.4,56.13,26.81,70.54
12:00,27.37,48.5,27.75,59.17,27.49,32.83,22.25,57.16,26.53,57.4,26.43,70.28
13:00,27.42,48.13,27.32,59.39,27.58,34.87,23.84,57.48,26.47,56.45,24.16,70.7
14:00,27.24,48,26.22,60.28,27.41,39.26,26.55,58.74,26.29,54.87,22.06,71.61
15:00,26.71,47.87,25.09,61.95,26.8,43.84,29.43,61.3,25.94,53.88,22.32,73.07
16:00,25.97,47.77,24.7,64.32,25.97,47.25,31.87,64.23,25.42,52.16,22.25,74.89
17:00,25.09,47.05,24.45,67.39,25.07,49.94,33.47,67.14,24.81,49.56,21.48,76.95
18:00,24.39,47.33,24.78,69.96,24.34,51.95,34.79,69.63,24.31,47.16,20.85,78.69
19:00,23.94,46.77,25.32,71.69,23.7,52.96,35.99,72.01,23.98,45.86,21.5,79.69
20:00,23.62,46.4,25.72,72.87,23.12,53.12,36.56,74.03,23.8,45.88,23.04,80.19
21:00,23.41,45.27,26.04,73.62,22.62,53.02,36.83,75.75,23.58,46.99,24.22,80.74
22:00,23.22,44.27,25.34,74.58,22.22,51.47,35.88,77.19,23.38,47.08,24.78,81.24
23:00,22.99,42.88,25.24,75.44,21.81,48.87,34.23,78.21,23.22,47.11,25.25,81.73
