月平均,忠明氣溫,忠明PM10,忠明PM2.5,忠明溼度,埔里氣溫,埔里PM10,埔里PM2.5,埔里溼度,線西氣溫,線西PM10,線西PM2.5,線西溼度
Jan,17.23,61.57,35.32,60.96,16.91,57.03,39.98,67.52,16.71,67.08,35.47,71.14
Feb,18.06,59.14,34.78,69.04,18.05,63.16,47.79,67.91,17.45,65.79,35.92,75.54
Mar,20.52,52.37,30.94,73.31,21.16,64.17,50,70.95,20.1,57.49,31.53,78.61
Apr,24.31,44.12,23.17,68.27,24.15,44.54,30.55,66.19,23.67,48.87,23.49,75.58
May,27.28,34.39,18.67,76.48,25.85,29.5,18.79,75.96,26.8,39.09,20.48,83.16
Jun,27.94,24.37,12.9,68.44,28.18,27.23,17.21,72.29,29.87,29.44,11.09,78.9
Jul,29.58,26.88,17.45,69.82,26.99,31.46,19.66,73.25,29.42,35.92,16.18,78.93
Aug,27.86,25.18,15.54,73.9,25.96,25.78,14.33,76.38,28.96,31.85,13.24,80.01
Sep,27.51,39.05,24.11,69.79,26.22,45.24,31.08,73.59,27.72,44.69,20.6,78.13
Oct,25.76,54.01,30.87,70.83,25.09,51.19,37.07,74.15,25.84,59.1,26.8,78.76
Nov,24.98,54.58,31.04,70.17,23.3,47.33,31.99,70.96,24.01,59.47,29.53,79.45
Dec,19.8,46.89,23.71,71.99,19.5,45.56,29.93,66.33,19.51,54.93,27.07,78.73
