,基隆市,台北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,台中市,南投縣,彰化縣,嘉義市,嘉義縣,雲林縣,台南市,高雄市,屏東縣,宜蘭縣,花蓮縣,台東縣,金門縣,連江縣,澎湖縣
1262332800000 ,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
1265011200000 ,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
1267430400000 ,0,1,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
1270108800000 ,0,0,2,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0
1272700800000 ,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1275379200000 ,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
1277971200000 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1280649600000 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1283328000000 ,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1285920000000 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1288598400000 ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1291190400000 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1293868800000 ,1,12,19,8,0,0,1,2,1,4,0,0,2,1,2,1,0,2,1,0,0,0
1296547200000 ,0,13,27,9,1,1,2,9,1,2,0,2,3,4,14,4,0,3,4,1,0,0
1298966400000 ,3,23,54,18,4,4,5,17,1,5,0,2,2,7,24,4,1,3,3,0,0,2
1301644800000 ,3,17,58,34,2,5,3,9,0,7,2,2,4,5,31,3,0,7,4,1,0,2
1304236800000 ,2,11,49,19,3,5,3,9,1,8,1,2,2,14,26,3,2,10,1,1,1,3
1306915200000 ,3,9,32,10,1,1,3,8,1,3,1,2,8,2,29,5,2,11,5,0,0,0
1309507200000 ,1,5,13,7,2,2,1,4,1,1,1,1,1,7,15,1,0,8,2,0,0,2
1312185600000 ,0,4,17,3,0,1,0,2,0,2,0,2,5,5,7,1,0,4,1,0,0,0
1314864000000 ,0,4,4,0,0,0,0,4,0,0,0,1,3,2,0,0,0,0,2,0,0,0
1317456000000 ,0,1,2,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0
1320134400000 ,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
1322726400000 ,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1325404800000 ,1,17,50,11,1,3,3,10,2,3,0,5,2,21,18,7,3,3,6,0,0,0
1328083200000 ,1,15,27,11,1,4,2,8,3,2,1,5,6,15,12,4,0,5,4,0,0,0
1330588800000 ,1,7,33,8,1,2,2,3,6,9,0,2,2,19,13,4,2,2,3,1,0,0
1333267200000 ,0,16,19,3,1,1,3,6,5,8,0,3,3,8,16,3,2,2,4,0,0,0
1335859200000 ,0,11,24,11,2,3,0,7,5,6,1,6,3,10,12,6,4,3,3,0,0,0
1338537600000 ,0,6,14,4,0,1,0,3,3,1,0,0,6,6,9,3,0,2,2,0,0,0
1341129600000 ,0,7,17,4,1,0,1,4,2,5,0,0,0,6,8,1,0,1,0,0,0,0
1343808000000 ,0,6,10,2,1,0,1,2,1,5,0,1,1,7,2,1,0,3,2,0,0,0
1346486400000 ,0,4,16,7,1,3,1,0,0,2,1,0,1,3,9,1,1,0,1,0,0,1
1349078400000 ,2,1,8,1,0,1,2,2,0,3,1,1,1,4,3,0,0,0,0,0,0,0
1351756800000 ,0,2,11,1,0,0,0,2,1,2,0,0,1,5,2,1,0,0,3,0,0,1
1354348800000 ,0,1,4,0,0,1,0,2,1,0,0,2,0,6,2,4,1,0,1,0,0,1
1357027200000 ,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359705600000 ,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1362124800000 ,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1364803200000 ,0,7,5,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1367395200000 ,0,3,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0
1370073600000 ,0,2,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1372665600000 ,0,5,3,0,0,0,0,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0
1375344000000 ,0,6,14,1,0,0,0,0,0,2,0,0,1,3,3,0,0,0,1,0,0,0
1378022400000 ,0,1,7,0,0,0,1,0,0,3,0,2,1,1,1,0,0,0,0,0,0,0
1380614400000 ,0,2,4,2,0,1,1,0,1,1,0,2,0,2,4,1,2,0,1,0,0,0
1383292800000 ,0,4,9,5,0,0,0,0,2,3,0,2,1,0,3,0,0,0,0,0,0,0
1385884800000 ,0,2,8,1,1,2,0,0,0,1,0,0,1,0,3,0,0,1,1,0,0,0
1388563200000 ,1,11,16,3,0,2,0,2,3,3,0,0,0,4,5,1,0,0,1,1,0,0
1391241600000 ,2,17,25,10,0,1,0,1,6,2,0,0,0,10,8,4,1,2,0,0,0,0
1393660800000 ,0,18,23,6,0,4,1,3,3,4,0,0,2,8,12,1,3,2,1,1,0,0
1396339200000 ,0,23,42,8,3,1,2,3,1,1,1,1,4,2,8,1,1,3,1,1,0,0
1398931200000 ,0,21,34,8,0,2,0,3,7,7,2,3,4,12,12,3,1,3,2,0,0,0
1401609600000 ,2,16,48,7,0,4,2,7,3,6,1,0,4,13,25,4,0,2,0,0,0,0
1404201600000 ,0,16,36,11,0,1,3,6,2,8,0,0,1,5,13,6,1,2,4,0,0,0
1406880000000 ,1,21,32,14,1,0,3,4,2,10,2,0,2,7,14,4,1,1,1,0,0,1
1409558400000 ,0,28,42,17,1,3,1,3,2,6,3,0,5,2,7,6,2,2,3,0,0,0
1412150400000 ,1,11,23,8,1,2,4,8,1,4,0,4,4,7,9,2,0,2,2,1,0,0
1414828800000 ,1,11,34,8,0,0,3,3,2,2,0,1,0,3,13,1,1,2,5,0,0,0
1417420800000 ,0,7,12,1,1,1,1,3,1,3,0,0,6,5,5,3,0,2,2,0,0,0
1420099200000 ,0,3,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1422777600000 ,0,0,1,2,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1425196800000 ,0,1,4,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0
1427875200000 ,0,2,4,1,0,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0
1430467200000 ,0,4,5,0,0,0,0,0,0,6,0,0,0,2,1,1,1,0,1,0,0,0
1433145600000 ,1,3,3,0,0,0,1,3,0,2,0,0,2,1,4,1,0,2,1,0,0,0
1435737600000 ,1,1,9,1,0,0,0,0,0,2,0,1,1,1,3,0,0,1,0,0,0,0
1438416000000 ,0,4,4,0,0,0,0,0,0,1,0,1,0,3,2,1,0,0,1,0,0,0
1441094400000 ,0,2,7,0,0,0,0,1,0,7,0,0,1,2,6,1,1,0,0,0,0,0
1443686400000 ,0,3,2,0,0,1,0,2,1,2,0,0,0,4,2,0,0,0,1,0,0,0
1446364800000 ,0,3,6,5,1,1,2,0,2,3,0,2,0,1,5,2,0,0,2,0,0,0
1448956800000 ,0,5,8,4,0,0,1,2,1,5,1,0,1,4,3,2,0,1,0,0,0,0
1451635200000 ,0,2,7,1,1,1,0,2,2,1,0,1,1,8,1,2,0,0,0,0,0,0
1454313600000 ,1,4,5,5,0,1,3,4,1,1,0,0,1,4,1,0,2,0,0,0,0,0
1456819200000 ,2,11,9,5,1,1,2,9,1,6,0,1,0,6,8,0,2,1,1,0,0,0
1459497600000 ,1,8,17,9,2,1,2,11,3,2,0,1,2,7,8,0,3,1,0,0,0,0
1462089600000 ,1,15,30,17,0,3,6,10,2,10,0,3,9,18,13,5,4,0,6,0,0,0
1464768000000 ,3,18,29,14,2,5,5,25,7,10,2,5,8,26,27,10,5,2,3,0,0,0
1467360000000 ,4,24,44,24,2,4,11,23,7,23,3,12,10,33,38,18,5,5,3,1,0,0
1470038400000 ,5,21,37,17,3,7,7,35,10,16,6,10,14,39,31,25,4,4,1,0,0,0
1472716800000 ,2,15,34,18,4,3,4,26,7,19,3,10,4,33,25,10,6,3,1,0,0,3
1475308800000 ,1,10,11,3,4,3,8,9,3,3,1,6,3,18,22,15,5,0,3,0,0,0
1477987200000 ,0,6,12,3,0,1,2,8,5,3,1,2,4,10,10,4,2,2,1,0,0,1
1480579200000 ,1,5,3,2,2,0,0,5,1,3,0,0,0,5,5,9,2,0,0,0,0,0
