Time,Temp,PM10,PM2.5,Rain,RH,Wind
00:00,15,85,44,0,65,0.5
01:00,15,75,37,0,62,1.4
02:00,15,62,38,0,61,1.4
03:00,14,45,22,0,61,1.5
04:00,14,53,29,0,62,1.2
05:00,14,88,43,0,63,1.5
06:00,13,111,61,0,62,1.8
07:00,13,121,65,0,61,1.5
08:00,14,108,62,0,58,1.7
09:00,16,97,57,0,51,0.8
10:00,18,89,46,0,45,1.3
11:00,19,89,42,0,39,1
12:00,19,89,44,0,37,1
13:00,19,93,43,0,36,1.5
14:00,18,93,44,0,37,1.5
15:00,17,88,37,0,39,1.1
16:00,16,87,39,0,42,1
17:00,14,77,28,0,46,1
18:00,13,72,29,0,49,0.8
19:00,13,63,22,0,50,1.9
20:00,12,56,24,0,52,1.9
21:00,12,49,21,0,53,1.9
22:00,12,46,27,0,53,1.9
23:00,12,40,26,0,52,1.5
00:00,12,38,18,0,52,1.5
01:00,12,21,10,0,53,1.5
02:00,12,14,10,0,52,1.9
03:00,12,12,9,0,52,0.8
04:00,12,24,11,0,53,1.2
05:00,12,30,4,0,53,0.8
06:00,12,30,12,0,54,1.7
07:00,12,29,11,0,54,1.4
08:00,13,25,15,0,54,0.5
09:00,14,32,19,0,51,0.5
10:00,15,37,22,0,48,0.5
11:00,17,48,27,0,45,0.9
12:00,18,50,30,0,42,0.6
13:00,19,58,36,0,42,0.6
14:00,19,65,38,0,43,0.4
15:00,20,76,43,0,43,0.9
16:00,18,83,45,0,47,0.9
17:00,17,95,43,0,49,0.8
18:00,16,92,42,0,52,0.7
19:00,16,84,44,0,54,0.5
20:00,15,75,46,0,56,0.4
21:00,15,71,42,0,57,0.6
22:00,14,72,31,0,60,1.2
23:00,14,68,30,0,62,0.4
